symbol,variety,contract,market,source_date,open,high,low,close,change_pct,change_amount,volume,turnover,amplitude_pct,source,source_url,validation_status,sina_close,quhe_code,status
FG,玻璃,FGm,,2026-08-26,911.0,914.0,895.0,898.0,-1.9650655,-18.0,1236286.0,1118838800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_166080,OK
PG,液化气,pgm,,2026-08-26,5785.0,5824.0,5583.0,5631.0,-4.7208123,-279.0,128254.0,14598255000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_291854,OK
FU,燃料油,fum,,2026-08-26,3727.0,3775.0,3590.0,3622.0,-7.954257,-313.0,1098439.0,40377470000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_165770,OK
SA,纯碱,SAm,,2026-08-26,1045.0,1047.0,1030.0,1035.0,-1.0516253,-11.0,1073380.0,1115241900.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_233773,OK
AU,沪金,aum,,2026-08-26,1004.0,1010.44,995.5,1003.0,-0.5867644,-5.919983,318276.0,319256660000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_165732,OK
PK,花生,PKm,,2026-08-26,8056.0,8056.0,7992.0,8004.0,-0.44776118,-36.0,118743.0,952556350.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_291867,OK
SS,不锈钢,ssm,,2026-08-26,14090.0,14415.0,14040.0,14225.0,0.5300353,75.0,322919.0,23038497000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_233721,OK
EG,乙二醇,egm,,2026-08-26,5250.0,5334.0,5168.0,5168.0,-5.9850826,-329.0,941964.0,49430327000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_233664,OK
MA,甲醇,MAm,,2026-08-26,2875.0,2906.0,2769.0,2769.0,-6.008147,-177.0,2389981.0,6763646500.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_166093,OK
PP,PP,ppm,,2026-08-26,8002.0,8056.0,7728.0,7769.0,-5.012838,-410.0,818380.0,32227267000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_165874,OK
