symbol,variety,contract,market,source_date,open,high,low,close,change_pct,change_amount,volume,turnover,amplitude_pct,source,source_url,validation_status,sina_close,quhe_code,status
TA,PTA,TAm,,2026-08-31,5630.0,5880.0,5608.0,5836.0,4.288778,240.0,1152329.0,6623587300.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5836.0,JO_166029,OK
EB,苯乙烯,ebm,,2026-08-31,8625.0,9146.0,8619.0,9120.0,5.5677743,481.0,828643.0,36928872000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,9120.0,JO_233677,OK
I,铁矿石,im,,2026-08-31,723.0,728.0,722.5,727.0,0.7623007,5.5,224375.0,16282200000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,727.0,JO_165977,OK
M,豆粕,mm,,2026-08-31,3355.0,3374.0,3331.0,3350.0,0.17942584,6.0,1507855.0,50572956000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3350.0,JO_165938,OK
P,棕榈油,pm,,2026-08-31,10174.0,10326.0,10155.0,10283.0,1.9228863,194.0,622172.0,63721340000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,10283.0,JO_165964,OK
SF,硅铁,SF2611,,2026-08-31,6118.000,6222.000,6094.000,6170.0,1.9160885365048008,116.0,489668,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,6170.0,,OK
L,塑料,lm,,2026-08-31,7721.0,8113.0,7683.0,8098.0,5.7318187,439.0,664824.0,26364625000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8098.0,JO_165809,OK
BC,国际铜,bcm,,2026-08-31,97520.0,97770.0,96490.0,97590.0,0.56677663,550.0,8303.0,4033617400.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,98780.0,JO_291808,OK
SI,工业硅,sim,,2026-08-31,8800.0,8925.0,8725.0,8865.0,0.7959068,70.0,303478.0,13394589000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8865.0,JO_322422,OK
AG,沪银,agm,,2026-08-31,17284.0,17388.0,16047.0,16293.0,-3.1216555,-525.0,1214308.0,303632300000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,16293.0,JO_165757,OK
AO,氧化铝,aom,,2026-08-31,2656.0,2700.0,2649.0,2687.0,2.206162,58.0,339366.0,18219682000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2687.0,JO_335884,OK
SN,沪锡,snm,,2026-08-31,423850.0,424980.0,414600.0,419000.0,-0.7109004,-3000.0,168047.0,70510590000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,419000.0,JO_165603,OK
HC,热卷,hcm,,2026-08-31,3375.0,3415.0,3371.0,3412.0,1.4570323,49.0,443184.0,15053814000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3412.0,JO_165719,OK
RB,螺纹钢,rbm,,2026-08-31,3115.0,3150.0,3115.0,3143.0,1.0935992,34.0,777186.0,24369830000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3143.0,JO_165681,OK
AL,沪铝,al2610,,2026-08-31,23935.000,24090.000,23845.000,24075.0,0.6059339740910996,145.0,194986,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,24075.0,,OK
JM,焦煤,JM2701,,2026-08-31,1629.000,1749.000,1625.000,1729.0,6.531115218730754,106.0,1544767,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,1729.0,JO_165990,OK
SH,烧碱,SHm,,2026-08-31,1901.0,1936.0,1896.0,1924.0,1.2098895,23.0,426501.0,817175940.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,1924.0,JO_336611,OK
NI,沪镍,nim,,2026-08-31,129000.0,129400.0,126170.0,127000.0,-0.9360374,-1200.0,249376.0,31796690000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,126000.0,JO_165590,OK
EG,乙二醇,egm,,2026-08-31,5038.0,5331.0,5012.0,5331.0,5.9840956,301.0,1072606.0,55721742000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5331.0,JO_233664,OK
J,焦炭,jm,,2026-08-31,2160.5,2256.0,2153.0,2241.5,4.280065,92.0,93371.0,20620920000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2241.5,JO_166003,OK
SA,纯碱,SAm,,2026-08-31,1048.0,1070.0,1044.0,1061.0,3.3106134,34.0,1870144.0,1973002000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,1061.0,JO_233773,OK
PR,瓶片,PRm,,2026-08-31,7192.0,7596.0,7186.0,7596.0,6.0005584,430.0,125786.0,928552260.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7596.0,JO_343068,OK
CF,棉花,CFm,,2026-08-31,17200.0,17230.0,16900.0,17125.0,-0.43604654,-75.0,407175.0,6946405400.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,17125.0,JO_166016,OK
SR,白糖,SRm,,2026-08-31,5395.0,5403.0,5353.0,5403.0,0.16685206,9.0,473034.0,2547288000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5403.0,JO_166055,OK
FU,燃料油,fum,,2026-08-31,3600.0,3864.0,3580.0,3845.0,4.7683926,175.0,1159968.0,43361890000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3845.0,JO_165770,OK
OI,菜油,OIm,,2026-08-31,10356.0,10446.0,10299.0,10377.0,0.73779243,76.0,245115.0,2541842400.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,10377.0,JO_166042,OK
BZ,纯苯,bzm,,2026-08-31,7520.0,7983.0,7507.0,7962.0,5.708975,430.0,51360.0,11984838000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7962.0,JO_347000,OK
CJ,红枣,CJm,,2026-08-31,8150.0,8180.0,8060.0,8075.0,-0.49291435,-40.0,119989.0,974910660.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8075.0,JO_233747,OK
