snapshot_date,symbol,variety,report_scope,asset,temperature,strength,trend_rank,source,note,tm_id,ticker_symbol,is_trend_right_side,days_since_trend_entry,trend_phase_curr,trend_temperature_prev,trend_strength_local_change,return_1d,api_update_dt
2026-07-21,M,豆粕,commodity,商品期货,热,80,,trend_animal_screenshot,用户提供的当日右侧趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,M,True,7,,,,,
2026-07-21,B,豆二,commodity,商品期货,热,70,,trend_animal_screenshot,用户提供的当日右侧趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,B,True,2,,,,,
2026-07-21,A,豆一,commodity,商品期货,凉,100,,trend_animal_screenshot,用户提供的当日左侧趋势截图；主力合约 A2609,,A2609,False,-5,,,,,
2026-07-21,AO,氧化铝,commodity,商品期货,凉,97,,trend_animal_screenshot,用户提供的当日左侧趋势截图；主力合约 AO2609,,AO2609,False,-15,,,,,
2026-07-21,HC,热卷,commodity,商品期货,凉,93,,trend_animal_screenshot,用户提供的当日左侧趋势截图；主力合约 HC2610,,HC2610,False,-9,,,,,
2026-07-21,AG,沪银,commodity,商品期货,凉,83,,trend_animal_screenshot,用户提供的当日左侧趋势截图；同品种多合约中取标注主力的 AG2610,,AG2610,False,-5,,,,,
2026-07-21,LH,生猪,commodity,商品期货,寒,38,,trend_animal_screenshot,用户提供的当日左侧趋势截图；同品种多合约中取标注主力的 LH2609,,LH2609,False,-2,,,,,
2026-07-21,PS,多晶硅,commodity,商品期货,寒,62,,trend_animal_screenshot,用户提供的当日左侧趋势截图；主力合约 PS2609,,PS2609,False,-5,,,,,
2026-07-21,SR,白糖,commodity,商品期货,凉,59,,trend_animal_screenshot,用户提供的当日左侧趋势截图；同品种多合约中取标注主力的 SR2609,,SR2609,False,-6,,,,,
2026-07-21,SH,烧碱,commodity,商品期货,凉,55,,trend_animal_screenshot,用户提供的当日左侧趋势截图；主力合约 SH2609,,SH2609,False,-5,,,,,
2026-07-21,LC,碳酸锂,commodity,商品期货,寒,34,,trend_animal_screenshot,用户提供的当日左侧趋势截图；同品种多合约中取标注主力的 LC2609,,LC2609,False,-7,,,,,
2026-07-21,C,玉米,commodity,商品期货,寒,31,,trend_animal_screenshot,用户提供的当日左侧趋势截图；主力合约 C2609,,C2609,False,-16,,,,,
2026-07-21,FG,玻璃,commodity,商品期货,凉,28,,trend_animal_screenshot,用户提供的当日左侧趋势截图；主力合约 FG2609,,FG2609,False,-112,,,,,
2026-07-21,SA,纯碱,commodity,商品期货,寒,7,,trend_animal_screenshot,用户提供的当日左侧趋势截图；主力合约 SA2609,,SA2609,False,-68,,,,,
