report_date,source_date,symbol,variety,contract,market,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,status,source,source_url,fetched_at
20260819,2026-08-19,A,豆一,a2611,114,,5074,,,,32951168120,,-0.0984,-5.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,AD,铝合金,ad2610,113,,22940,,,,3313815000,,-0.6281,-145.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,AG,沪银,ag2610,113,,15432,,,,251929431120,,-3.3143,-529.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,AL,沪铝,al2610,113,,23675,,,,43605840050,,-1.1689,-280.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,AO,氧化铝,ao2610,113,,2668,,,,9287755460,,-0.4849,-13.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,AP,苹果,ap2610,115,,7807,,,,8587814820,,-0.7753,-61.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,AU,沪金,au2610,113,,945.56,,,,340218456900,,-1.1334,-10.840000000000032,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,B,豆二,b2611,114,,4032,,,,12838887150,,0.5988,24.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,,BB,胶合板2611,bb2611,114,,,,,,,,,,ERROR:RemoteDisconnected,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-08-19T18:40:41+08:00
20260819,2026-08-19,BC,国际铜,bc2609,142,,94740,,,,6143986050,,-1.4562,-1400.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,BR,合成橡胶,br2610,113,,14680,,,,20296058800,,1.5566,225.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,BU,沥青,bu2610,113,,4394,,,,18483903340,,1.878,81.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,BZ,纯苯,bz2610,114,,7549,,,,9544145610,,-2.1517,-166.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,C,玉米,c2611,114,,2265,,,,42076762740,,1.752,39.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,CF,棉花,cf2701,115,,16975,,,,50688435800,,0.8616,145.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,CJ,红枣,cj2701,115,,8285,,,,6877971575,,0.6683,55.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,CS,淀粉,cs2611,114,,2573,,,,10352110630,,2.1437,54.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,CU,沪铜,cu2609,113,,106850,,,,114644450100,,-1.0006,-1080.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,CY,棉纱,cy2611,115,,22970,,,,1555285750,,0.2838,65.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,EB,苯乙烯,eb2610,114,,8681,,,,31508189330,,0.591,51.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,EC,集运欧线,ec2610,142,,1750,,,,1734912250,,-0.4267,-7.5,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,EG,乙二醇,eg2609,114,,5311,,,,51099639030,,0.6825,36.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,FB,纤维板,fb2610,114,,1266.5,,,,53952880,,-0.0395,-0.5,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,FG,玻璃,fg2701,115,,902,,,,49611237860,,-1.6358,-15.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,FU,燃料油,fu2611,113,,3825,,,,43532029300,,2.0272,76.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,HC,热卷,hc2610,113,,3286,,,,16972617260,,0.1524,5.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,I,铁矿石,i2701,114,,712,,,,30498984200,,-0.2801,-2.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,IC,500中证,IC2609,220,,7712,,,,328954951720,,-3.8716,-310.60000000000036,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,IF,300沪深,IF2609,220,,4554.2,,,,182925871920,,-2.4838,-116.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,IH,50上证,IH2609,220,,2865,,,,57453927720,,-1.6005,-46.59999999999991,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,IM,1000中证,IM2609,220,,7468.8,,,,497574827080,,-4.332,-338.1999999999998,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,J,焦炭,j2701,114,,2058,,,,11347525900,,2.3881,48.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,JD,鸡蛋,jd2610,114,,3813,,,,44053519980,,-1.6761,-65.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,JM,焦煤,jm2701,114,,1586.5,,,,123640192950,,2.5865,40.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,,JR,粳稻701,JR701,115,,,,,,,,,,ERROR:RemoteDisconnected,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-08-19T18:40:41+08:00
20260819,2026-08-19,L,塑料,l2701,114,,7842,,,,23669347760,,0.6804,53.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,LC,碳酸锂,lc2701,225,,150660,,,,39742582220,,-3.0502,-4740.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,LG,原木,lg2609,114,,822.5,,,,437001750,,0.2438,2.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,LH,生猪,lh2611,114,,12315,,,,52281305680,,-1.5194,-190.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,LU,低硫油,lu2610,142,,4998,,,,12474645840,,0.1001,5.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,M,豆粕,m2701,114,,3246,,,,56445117640,,0.1543,5.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,MA,甲醇,ma2610,115,,2843,,,,84323592780,,2.4135,67.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,NI,沪镍,ni2609,113,,127850,,,,31923963020,,-0.6913,-890.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,NR,20号胶,nr2610,142,,15165,,,,17266480500,,1.235,185.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,OI,菜油,oi2611,115,,10568,,,,57620257870,,1.4496,151.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,OP,双胶纸,op2610,113,,3880,,,,1957681520,,-0.5638,-22.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,P,棕榈油,p2701,114,,9994,,,,71983509130,,0.4826,48.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PB,沪铅,pb2610,113,,15930,,,,7725117725,,0.1572,25.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PD,钯,pd2610,225,,309.2,,,,68626855,,-2.7673,-8.800000000000011,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PF,短纤,pf2610,115,,7638,,,,12847775970,,-0.5728,-44.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PG,液化气,pg2610,114,,5683,,,,10877379040,,0.1057,6.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PK,花生,pk2611,115,,8154,,,,11865623190,,-0.3909,-32.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PL,丙烯,pl2611,115,,7843,,,,9208066240,,0.9265,72.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,,PM,普麦701,PM701,115,,,,,,,,,,ERROR:RemoteDisconnected,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PP,PP,pp2701,114,,8010,,,,32773814635,,0.7928,63.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PR,瓶片,pr2611,115,,7482,,,,15654035130,,-0.3463,-26.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PS,多晶硅,ps2611,225,,37815,,,,21219828930,,0.4916,185.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PT,铂,pt2610,225,,423.5,,,,121134027.5,,-2.7108,-11.800000000000011,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
20260819,2026-08-19,PX,对二甲苯,px2611,115,,8296,,,,32769688580,,-0.9551,-80.0,OK,奇货可查商品主连,https://x.qhkch.com/variety,2026-08-19T18:40:41+08:00
