symbol,variety,contract,market,source_date,open,high,low,close,change_pct,change_amount,volume,turnover,amplitude_pct,source,source_url,validation_status,sina_close,quhe_code,status
FG,玻璃,FGm,,2026-08-24,908.0,932.0,906.0,922.0,1.7660044,16.0,2043327.0,1885990800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,922.0,JO_166080,OK
AG,沪银,agm,,2026-08-24,16896.0,17052.0,16664.0,16843.0,1.3966649,232.0,757231.0,191792630000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,16843.0,JO_165757,OK
SA,纯碱,SAm,,2026-08-24,1040.0,1072.0,1038.0,1054.0,2.230844,23.0,2217259.0,2343643000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,1054.0,JO_233773,OK
Y,豆油,ym,,2026-08-24,8830.0,8890.0,8730.0,8805.0,-0.35083747,-31.0,375321.0,33072466000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8805.0,JO_165951,OK
SM,锰硅,SM2611,,2026-08-24,5974.000,5984.000,5922.000,5962.0,0.438005390835583,26.0,358900,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,5962.0,,OK
ZN,沪锌,zn2610,,2026-08-24,25950.000,26120.000,25865.000,25905.0,1.0532475131656005,270.0,144624,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,25905.0,,OK
L,塑料,lm,,2026-08-24,7870.0,7883.0,7758.0,7810.0,-0.36994514,-29.0,462638.0,18085186000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7810.0,JO_165809,OK
B,豆二,bm,,2026-08-24,4029.0,4044.0,3998.0,4000.0,-1.0146003,-41.0,195821.0,7871378400.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4000.0,JO_165925,OK
NR,20号胶,nrm,,2026-08-24,15430.0,15755.0,15415.0,15655.0,1.0325911,160.0,81370.0,12677018000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,15655.0,JO_233734,OK
RM,菜粕,RMm,,2026-08-24,2240.0,2250.0,2229.0,2235.0,-0.4897596,-11.0,492308.0,1102769900.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2235.0,JO_166106,OK
PB,沪铅,pbm,,2026-08-24,16080.0,16240.0,16080.0,16165.0,0.4973578,80.0,71717.0,5794190300.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,16165.0,JO_165616,OK
FU,燃料油,fum,,2026-08-24,3863.0,3906.0,3725.0,3829.0,-0.54545456,-21.0,890787.0,34053521000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3829.0,JO_165770,OK
RB,螺纹钢,rbm,,2026-08-24,3037.0,3076.0,3034.0,3066.0,0.921659,28.0,943196.0,28879604000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3066.0,JO_165681,OK
SN,沪锡,snm,,2026-08-24,427800.0,429750.0,423300.0,427110.0,-0.13561225,-580.0,102040.0,43540763000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,427110.0,JO_165603,OK
M,豆粕,mm,,2026-08-24,3233.0,3251.0,3230.0,3232.0,-0.3699137,-12.0,976702.0,31649518000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3232.0,JO_165938,OK
OI,菜油,OIm,,2026-08-24,10505.0,10526.0,10312.0,10412.0,-1.2237928,-129.0,304256.0,3174302700.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,10412.0,JO_166042,OK
PK,花生,PKm,,2026-08-24,8120.0,8126.0,8076.0,8078.0,-0.8104126,-66.0,141904.0,1149138600.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8078.0,JO_291867,OK
MA,甲醇,MAm,,2026-08-24,2914.0,2935.0,2840.0,2914.0,1.1805556,34.0,1962523.0,5667766300.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2914.0,JO_166093,OK
JM,焦煤,JM2701,,2026-08-24,1581.500,1636.500,1577.000,1584.0,0.8274984086569015,13.0,1252257,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,1584.0,JO_165990,OK
SH,烧碱,SHm,,2026-08-24,1925.0,1969.0,1917.0,1952.0,2.1454737,41.0,583387.0,1135854500.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,1952.0,JO_336611,OK
EB,苯乙烯,ebm,,2026-08-24,8799.0,8880.0,8673.0,8760.0,0.40114614,35.0,703250.0,30882920000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8760.0,JO_233677,OK
AL,沪铝,al2610,,2026-08-24,23800.000,23865.000,23705.000,23765.0,0.6138865368331858,145.0,143183,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,23765.0,,OK
P,棕榈油,pm,,2026-08-24,10198.0,10292.0,10081.0,10145.0,-0.009856101,-1.0,683275.0,69550360000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,10145.0,JO_165964,OK
C,玉米,cm,,2026-08-24,2265.0,2287.0,2262.0,2280.0,0.8403362,19.0,761466.0,17344264000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2280.0,JO_165796,OK
LC,碳酸锂,lcm,,2026-08-24,161500.0,162500.0,156000.0,158860.0,1.5988744,2500.0,219750.0,35164960000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,158860.0,JO_336104,OK
I,铁矿石,im,,2026-08-24,707.0,721.5,706.5,716.0,1.2729844,9.0,300058.0,21473776000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,716.0,JO_165977,OK
BR,合成橡胶,brm,,2026-08-24,14605.0,14920.0,14390.0,14720.0,1.0989012,160.0,310875.0,22803526000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,14720.0,JO_336117,OK
SP,纸浆,spm,,2026-08-24,4900.0,4912.0,4858.0,4866.0,0.37128714,18.0,350057.0,17100406000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4866.0,JO_233708,OK
J,焦炭,jm,,2026-08-24,2120.0,2185.0,2115.0,2152.5,2.916567,61.0,74651.0,16087045000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2152.5,JO_166003,OK
PG,液化气,pgm,,2026-08-24,5827.0,5956.0,5778.0,5878.0,1.7307026,100.0,143046.0,16787837000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5878.0,JO_291854,OK
SI,工业硅,sim,,2026-08-24,8700.0,8755.0,8560.0,8730.0,-0.45610034,-40.0,229806.0,9974429000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8730.0,JO_322422,OK
NI,沪镍,nim,,2026-08-24,129370.0,131200.0,128920.0,129590.0,0.86394775,1110.0,152615.0,19824771000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,129590.0,JO_165590,OK
CJ,红枣,CJm,,2026-08-24,8150.0,8300.0,8150.0,8245.0,1.2899263,105.0,126304.0,1043271040.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8245.0,JO_233747,OK
CF,棉花,CFm,,2026-08-24,17100.0,17150.0,16970.0,17035.0,-0.20503807,-35.0,270973.0,4626864000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,17035.0,JO_166016,OK
BU,沥青,bum,,2026-08-24,4508.0,4551.0,4443.0,4544.0,0.39770216,18.0,413989.0,18622368000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4544.0,JO_165694,OK
SS,不锈钢,ssm,,2026-08-24,14245.0,14310.0,14195.0,14215.0,0.1761804,25.0,150271.0,10708001000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,14215.0,JO_233721,OK
A,豆一,am,,2026-08-24,5035.0,5093.0,5018.0,5031.0,-0.69088036,-35.0,330539.0,16690393000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5031.0,JO_165900,OK
JD,鸡蛋,jdm,,2026-08-24,3864.0,3885.0,3786.0,3787.0,-1.7129508,-66.0,659276.0,25286510000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3787.0,JO_165835,OK
SF,硅铁,SF2611,,2026-08-24,6050.000,6072.000,5962.000,5992.0,0.1002338790511148,6.0,449211,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,5992.0,,OK
V,PVC,vm,,2026-08-24,4671.0,4699.0,4641.0,4644.0,-0.7692308,-36.0,961947.0,22479127000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4644.0,JO_165822,OK
PS,多晶硅,psm,,2026-08-24,38500.0,38500.0,37300.0,37695.0,-2.4456522,-945.0,102420.0,11631441000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,37695.0,JO_344228,OK
TA,PTA,TAm,,2026-08-24,5742.0,5786.0,5598.0,5674.0,-1.1842563,-68.0,1005663.0,5718200000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5674.0,JO_166029,OK
PX,对二甲苯,PXm,,2026-08-24,8254.0,8318.0,8066.0,8162.0,-1.377477,-114.0,468415.0,3826950700.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_336625,OK
BC,国际铜,bcm,,2026-08-24,96460.0,96630.0,95970.0,96570.0,1.1416004,1090.0,5022.0,2419104800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,96570.0,JO_291808,OK
LH,生猪,lhm,,2026-08-24,12205.0,12205.0,11985.0,12030.0,-2.1155412,-260.0,179385.0,34739350000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,12030.0,JO_291821,OK
SR,白糖,SRm,,2026-08-24,5375.0,5405.0,5363.0,5375.0,-0.22275849,-12.0,459872.0,2475491000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5375.0,JO_166055,OK
AO,氧化铝,aom,,2026-08-24,2698.0,2718.0,2688.0,2690.0,0.18621974,5.0,209342.0,11316457000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2690.0,JO_335884,OK
HC,热卷,hcm,,2026-08-24,3298.0,3348.0,3297.0,3340.0,1.4889091,49.0,542854.0,18074153000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3340.0,JO_165719,OK
AP,苹果,APm,,2026-08-24,7670.0,7720.0,7477.0,7489.0,-2.4742804,-190.0,120256.0,911300000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7489.0,JO_166249,OK
PF,短纤,PFm,,2026-08-24,7674.0,7718.0,7526.0,7664.0,0.28788275,22.0,209981.0,1600475100.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7664.0,JO_291841,OK
AU,沪金,aum,,2026-08-24,990.52,1009.36,990.16,1006.82,2.862691,28.02002,380414.0,380361540000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,1006.82,JO_165732,OK
PR,瓶片,PRm,,2026-08-24,7396.0,7446.0,7230.0,7336.0,-0.54229933,-40.0,124550.0,915193400.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7336.0,JO_343068,OK
LU,低硫油,lum,,2026-08-24,5078.0,5154.0,4916.0,5027.0,-0.3370341,-17.0,130595.0,6574195000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5027.0,JO_291828,OK
RU,天然橡胶,rum,,2026-08-24,18480.0,18725.0,18395.0,18610.0,0.6217897,115.0,280954.0,52121380000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,18610.0,JO_165668,OK
UR,尿素,URm,,2026-08-24,1770.0,1786.0,1762.0,1777.0,0.28216705,5.0,162236.0,287968900.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,1777.0,JO_233760,OK
