snapshot_date,symbol,variety,report_scope,asset,temperature,strength,trend_rank,source,note,tm_id,ticker_symbol,is_trend_right_side,days_since_trend_entry,trend_phase_curr,trend_temperature_prev,trend_strength_local_change,return_1d,api_update_dt
2026-08-19,FU,燃油,commodity,商品期货,温,88.2,,trend_animal_api,API direct fact,300156,FU,False,,,温,,0.025,2026-08-19 17:15:01
2026-08-19,EB,苯乙烯,commodity,商品期货,平,65.8,,trend_animal_api,API direct fact,308526,EB,False,,,平,,0.0059,2026-08-19 17:15:01
2026-08-19,LC,碳酸锂,commodity,商品期货,平,34.2,,trend_animal_api,API direct fact,308564,lc,False,,,平,,-0.029,2026-08-19 17:15:01
2026-08-19,M,豆粕,commodity,商品期货,温,96.1,,trend_animal_api,API direct fact,308534,M,False,,,温,,0.0022,2026-08-19 17:15:01
2026-08-19,JM,焦煤,commodity,商品期货,温,94.7,,trend_animal_api,API direct fact,308549,JM,False,,,平,,0.028,2026-08-19 17:15:01
2026-08-19,I,铁矿石,commodity,商品期货,,41.3,,trend_animal_api,API direct fact,710425,I2708,False,,谷雨,,,-0.0022,2026-08-19 17:15:01
2026-08-19,JD,鸡蛋,commodity,商品期货,平,17.1,,trend_animal_api,API direct fact,308545,JD,False,,,平,,-0.0127,2026-08-19 17:15:01
2026-08-19,AU,黄金,commodity,商品期货,温,78.3,,trend_animal_api,API direct fact,707175,AU2708,True,15.0,夏至,温,,-0.0112,2026-08-19 17:15:01
2026-08-19,AG,白银,commodity,商品期货,,24.5,,trend_animal_api,API direct fact,711031,AG2708,False,,立冬,,,-0.0325,2026-08-19 17:15:01
2026-08-19,LH,生猪,commodity,商品期货,平,19.7,,trend_animal_api,API direct fact,308562,LH,False,,,平,,-0.0132,2026-08-19 17:15:01
2026-08-19,P,棕榈油,commodity,商品期货,温,69.7,,trend_animal_api,API direct fact,308577,P,False,,,温,,0.0045,2026-08-19 17:15:01
2026-08-19,IH,上证50,stock_index,ETF基金,凉,51.4,,trend_animal_api,API direct fact,328631,510190,False,,,温,,-0.0175,2026-08-19 17:15:01
