report_date,source_date,symbol,variety,contract,market,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,status,source,source_url,fetched_at
20260717,2026-07-17,A,豆一2609,a2609,114,4702,4684,4718,4674,163997,7698275770,0.94,-0.32,-15,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,AD,铸造铝2609,ad2609,113,23015,23025,23105,22955,5644,1299468850,0.65,0.35,80,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,AG,沪银2608,ag2608,113,13600,13522,13786,13308,572778,116571734070,3.41,-3.66,-514,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,AL,沪铝2608,al2608,113,23190,23185,23285,23155,90687,10526067825,0.56,0.09,20,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,AO,氧化铝2609,ao2609,113,2681,2656,2696,2652,233154,12473801940,1.63,-1.88,-51,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,AP,苹果610,AP610,115,7542,7480,7585,7466,67556,5090344600,1.58,-0.58,-44,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,AU,沪金2608,au2608,113,870.64,873.72,877.56,866.72,227207,198105574920.00,1.23,-1.03,-9.08,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,B,豆二2609,b2609,114,3796,3782,3813,3768,133892,5076820470,1.18,-0.60,-23,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,BB,胶合板2609,bb2609,114,148.45,148.10,148.55,148.10,104,7715675.00,0.30,-0.20,-0.30,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,BC,国际铜2608,bc2608,142,92420,91870,92880,91690,6661,3070461800,1.28,-0.82,-760,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
20260717,2026-07-17,BR,丁二烯胶2609,br2609,113,13880,13580,13980,13480,239180,16321674500,3.63,-1.31,-180,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-17T15:01:57+08:00
