snapshot_date,symbol,variety,report_scope,asset,temperature,strength,trend_rank,source,note,tm_id,ticker_symbol,is_trend_right_side,days_since_trend_entry,trend_phase_curr,trend_temperature_prev,trend_strength_local_change,return_1d,api_update_dt
2026-07-24,FU,燃油,commodity,商品期货,平,92.1,,trend_animal_api,API direct fact,300156,FU,False,,,平,,-0.0032,2026-07-24 17:16:00
2026-07-24,EB,苯乙烯,commodity,商品期货,平,93.4,,trend_animal_api,API direct fact,308526,EB,False,,,平,,-0.0106,2026-07-24 17:16:00
2026-07-24,LC,碳酸锂,commodity,商品期货,凉,11.8,,trend_animal_api,API direct fact,308564,lc,False,-10.0,立冬,凉,,-0.0009,2026-07-24 17:16:00
2026-07-24,M,豆粕,commodity,商品期货,热,100.0,,trend_animal_api,API direct fact,308534,M,True,10.0,夏至,热,,0.0138,2026-07-24 17:16:00
2026-07-24,JM,焦煤,commodity,商品期货,平,39.5,,trend_animal_api,API direct fact,308549,JM,False,,,平,,-0.0065,2026-07-24 17:16:00
2026-07-24,JD,鸡蛋,commodity,商品期货,平,21.1,,trend_animal_api,API direct fact,308545,JD,False,,,平,,-0.0287,2026-07-24 17:16:00
2026-07-24,AU,黄金,commodity,商品期货,,39.3,,trend_animal_api,API direct fact,707175,AU2708,False,,,,,-0.0199,2026-07-24 17:16:00
2026-07-24,AG,白银,commodity,商品期货,,47.7,,trend_animal_api,API direct fact,707180,AG2707,False,,,,,-0.0315,2026-07-24 17:16:00
2026-07-24,LH,生猪,commodity,商品期货,寒,2.6,,trend_animal_api,API direct fact,308562,LH,False,-8.0,冬至,寒,,-0.0199,2026-07-24 17:16:00
2026-07-24,IH,上证50,stock_index,ETF基金,温,83.2,,trend_animal_api,API direct fact,328631,510190,False,,,温,,-0.0093,2026-07-24 17:16:00
