symbol,variety,contract,market,source_date,open,high,low,close,change_pct,change_amount,volume,turnover,amplitude_pct,source,source_url,validation_status,sina_close,quhe_code,status
AL,沪铝,al2610,,2026-08-25,23790.0,23940.0,23695.0,23755.0,-0.042078687144961074,-10.0,175448.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,23755.0,,OK
I,铁矿石,i2701,,2026-08-25,718.0,720.5,712.0,713.5,-0.34916201117318435,-2.5,233317.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,713.5,JO_165977,OK
AU,沪金,au2610,,2026-08-25,1010.0,1015.38,1000.2,1004.22,-0.2582388113068893,-2.6000000000000227,431132.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,1004.22,JO_165732,OK
SA,纯碱,SA2701,,2026-08-25,1053.0,1057.0,1032.0,1045.0,-0.8538899430740038,-9.0,1608290.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,1045.0,JO_233773,OK
SN,沪锡,sn2609,,2026-08-25,426310.0,428690.0,423010.0,424980.0,-0.4987005689400857,-2130.0,73040.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,424980.0,JO_165603,OK
FU,燃料油,fu2611,,2026-08-25,3845.0,4059.0,3823.0,3842.0,0.3395142334813267,13.0,1366745.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,3842.0,JO_165770,OK
FG,玻璃,FG2701,,2026-08-25,922.0,926.0,907.0,913.0,-0.9761388286334056,-9.0,1244642.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,913.0,JO_166080,OK
CU,沪铜,cu2609,,2026-08-25,108210.0,108680.0,108020.0,108180.0,0.06474886689482935,70.0,60021.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,108180.0,,OK
OI,菜油,OI2611,,2026-08-25,10376.0,10404.0,10231.0,10281.0,-1.2581636573184787,-131.0,260577.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,10281.0,JO_166042,OK
RU,天然橡胶,ru2701,,2026-08-25,18610.0,18865.0,18505.0,18545.0,-0.3492745835572273,-65.0,278638.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,18545.0,JO_165668,OK
SP,纸浆,sp2611,,2026-08-25,4852.0,4876.0,4822.0,4848.0,-0.36991368680641185,-18.0,316118.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,4848.0,JO_233708,OK
BC,国际铜,bc2609,,2026-08-25,96970.0,97270.0,96480.0,96630.0,0.062131096613855234,60.0,7322.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,96630.0,JO_291808,OK
J,焦炭,j2701,,2026-08-25,2162.0,2218.0,2111.0,2145.0,-0.34843205574912894,-7.5,94788.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,2145.0,JO_166003,OK
PP,PP,pp2701,,2026-08-25,8153.0,8291.0,8085.0,8098.0,-0.5037473891141419,-41.0,792547.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,8098.0,JO_165874,OK
TA,PTA,TA2701,,2026-08-25,5684.0,5886.0,5672.0,5732.0,1.0222065562213607,58.0,1434677.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,5732.0,JO_166029,OK
CF,棉花,CF2701,,2026-08-25,17055.0,17170.0,16775.0,16885.0,-0.8805400645729381,-150.0,457353.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,16885.0,JO_166016,OK
MA,甲醇,MA2610,,2026-08-25,2919.0,3010.0,2897.0,2925.0,0.3774879890185312,11.0,2317854.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,2925.0,JO_166093,OK
LH,生猪,lh2611,,2026-08-25,12030.0,12050.0,11825.0,11835.0,-1.6209476309226933,-195.0,189524.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,11835.0,JO_291821,OK
JD,鸡蛋,jd2610,,2026-08-25,3758.0,3775.0,3714.0,3762.0,-0.6601531555320834,-25.0,588625.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,3762.0,JO_165835,OK
LU,低硫油,lu2610,,2026-08-25,5030.0,5325.0,4880.0,4921.0,-2.108613487169286,-106.0,236776.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,4921.0,JO_291828,OK
