symbol,contract,broker,long_pos,long_chg,short_pos,short_chg,net_pos,flow_score,add_long,reduce_long,add_short,reduce_short
NR,nr2610,中信期货,5101,432,5613,-87,-512,519,432,0,0,87
NR,nr2610,东证期货,4819,-182,3533,-121,1286,-61,0,182,0,121
NR,nr2610,国泰君安,4721,662,7389,607,-2668,55,662,0,607,0
NR,nr2610,高盛期货,3206,-215,0,0,3206,-215,0,215,0,0
NR,nr2610,永安期货,2320,-135,2396,395,-76,-530,0,135,395,0
NR,nr2610,中金财富,1559,-53,0,0,1559,-53,0,53,0,0
NR,nr2610,华泰期货,1553,-168,2485,41,-932,-209,0,168,41,0
NR,nr2610,银河期货,1394,117,3887,-163,-2493,280,117,0,0,163
NR,nr2610,国信期货,1345,66,0,0,1345,66,66,0,0,0
NR,nr2610,广发期货,1272,36,1860,-61,-588,97,36,0,0,61
NR,nr2610,新湖期货,1261,232,786,27,475,205,232,0,27,0
NR,nr2610,五矿期货,1209,57,0,0,1209,57,57,0,0,0
NR,nr2610,华闻期货,1189,161,0,0,1189,161,161,0,0,0
NR,nr2610,中信建投,960,-198,0,0,960,-198,0,198,0,0
NR,nr2610,瑞银期货,807,-209,0,0,807,-209,0,209,0,0
NR,nr2610,东吴期货,790,128,0,0,790,128,128,0,0,0
NR,nr2610,平安期货,772,30,0,0,772,30,30,0,0,0
NR,nr2610,中粮期货,764,-45,821,-52,-57,7,0,45,0,52
NR,nr2610,中辉期货,707,146,0,0,707,146,146,0,0,0
NR,nr2610,浙商期货,656,-234,2144,-296,-1488,62,0,234,0,296
NR,nr2610,南华期货,0,0,2228,-235,-2228,235,0,0,0,235
NR,nr2610,大地期货,0,0,1745,0,-1745,0,0,0,0,0
NR,nr2610,宝城期货,0,0,1436,-22,-1436,22,0,0,0,22
NR,nr2610,中银期货,0,0,1294,-4,-1294,4,0,0,0,4
NR,nr2610,中泰期货,0,0,1252,-29,-1252,29,0,0,0,29
NR,nr2610,物产中大,0,0,1235,-23,-1235,23,0,0,0,23
NR,nr2610,瑞达期货,0,0,743,29,-743,-29,0,0,29,0
NR,nr2610,西部期货,0,0,670,-38,-670,38,0,0,0,38
NR,nr2610,建信期货,0,0,656,-12,-656,12,0,0,0,12
NR,nr2610,财信期货,0,0,626,-2,-626,2,0,0,0,2
PP,pp2701,国泰君安,73455,4113,67356,-3414,6099,7527,4113,0,0,3414
PP,pp2701,中信期货,71581,4043,49102,-3480,22479,7523,4043,0,0,3480
PP,pp2701,东证期货,46930,-3140,27816,-63,19114,-3077,0,3140,0,63
PP,pp2701,高盛期货,37691,2775,0,0,37691,2775,2775,0,0,0
PP,pp2701,中金财富,29048,-107,0,0,29048,-107,0,107,0,0
PP,pp2701,永安期货,19769,-1313,35472,236,-15703,-1549,0,1313,236,0
PP,pp2701,银河期货,18333,-2498,19233,2535,-900,-5033,0,2498,2535,0
PP,pp2701,华泰期货,13752,-128,31081,-1189,-17329,1061,0,128,0,1189
PP,pp2701,广发期货,11245,-380,31328,-3606,-20083,3226,0,380,0,3606
PP,pp2701,平安期货,9876,388,0,0,9876,388,388,0,0,0
PP,pp2701,浙商期货,8793,-250,15611,-1837,-6818,1587,0,250,0,1837
PP,pp2701,中信建投,8379,897,6864,9,1515,888,897,0,9,0
PP,pp2701,瑞达期货,7643,-2090,0,0,7643,-2090,0,2090,0,0
PP,pp2701,光大期货,7574,-313,0,0,7574,-313,0,313,0,0
PP,pp2701,瑞银期货,6692,-141,0,0,6692,-141,0,141,0,0
PP,pp2701,摩根大通,6210,277,0,0,6210,277,277,0,0,0
PP,pp2701,国联期货,5808,1543,0,0,5808,1543,1543,0,0,0
PP,pp2701,东吴期货,5669,440,6672,263,-1003,177,440,0,263,0
PP,pp2701,混沌天成,5489,57,0,0,5489,57,57,0,0,0
PP,pp2701,国投安信,5418,-580,12975,1388,-7557,-1968,0,580,1388,0
PP,pp2701,中粮期货,0,0,10215,1013,-10215,-1013,0,0,1013,0
PP,pp2701,南华期货,0,0,8228,-810,-8228,810,0,0,0,810
PP,pp2701,东海期货,0,0,7596,246,-7596,-246,0,0,246,0
PP,pp2701,中泰期货,0,0,7358,1542,-7358,-1542,0,0,1542,0
PP,pp2701,海通期货,0,0,7348,-196,-7348,196,0,0,0,196
PP,pp2701,东亚期货,0,0,7339,30,-7339,-30,0,0,30,0
PP,pp2701,创元期货,0,0,7049,1234,-7049,-1234,0,0,1234,0
PP,pp2701,紫金天风,0,0,6459,-202,-6459,202,0,0,0,202
PP,pp2701,中原期货,0,0,6417,577,-6417,-577,0,0,577,0
TA,ta2701,国泰君安,100872,-7325,100662,-2243,210,-5082,0,7325,0,2243
TA,ta2701,东证期货,84339,-134,71656,-3759,12683,3625,0,134,0,3759
TA,ta2701,中信期货,75018,-18226,56100,-8667,18918,-9559,0,18226,0,8667
TA,ta2701,华泰期货,33954,-2337,33675,3564,279,-5901,0,2337,3564,0
TA,ta2701,摩根大通,30418,-2121,14949,9746,15469,-11867,0,2121,9746,0
TA,ta2701,光大期货,28479,19303,11065,-3618,17414,22921,19303,0,0,3618
TA,ta2701,瑞银期货,27739,69,0,0,27739,69,69,0,0,0
TA,ta2701,中粮期货,27033,-1168,0,0,27033,-1168,0,1168,0,0
TA,ta2701,高盛期货,24209,-22704,16321,10377,7888,-33081,0,22704,10377,0
TA,ta2701,建信期货,23351,9362,0,0,23351,9362,9362,0,0,0
TA,ta2701,银河期货,22713,-1930,47764,-4909,-25051,2979,0,1930,0,4909
TA,ta2701,中金财富,19911,-7754,18839,2212,1072,-9966,0,7754,2212,0
TA,ta2701,广发期货,19554,-2936,12321,-9,7233,-2927,0,2936,0,9
TA,ta2701,东吴期货,14913,8457,28445,-4593,-13532,13050,8457,0,0,4593
