date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,turnover_rate
2025-10-15,1310.0,1312.0,1321.0,1286.0,2853.0,223429710.0,2.67,0.23,3.0,0.0
2025-10-16,1315.0,1352.0,1353.5,1302.0,2745.0,218721150.0,3.95,3.6,47.0,0.0
2025-10-17,1351.5,1340.0,1357.5,1333.0,2827.0,228400140.0,1.85,0.94,12.5,0.0
2025-10-20,1345.0,1360.5,1387.5,1345.0,3447.0,283771440.0,3.16,1.04,14.0,0.0
2025-10-21,1356.0,1326.0,1356.5,1323.5,2700.0,216836070.0,2.41,-3.35,-46.0,0.0
2025-10-22,1335.0,1362.5,1365.5,1328.0,2619.0,212353230.0,2.8,1.83,24.5,0.0
2025-10-23,1362.0,1396.0,1396.0,1355.0,3532.0,292130704.0,3.03,3.33,45.0,0.0
2025-10-24,1399.0,1383.0,1401.0,1375.5,3816.0,317627248.0,1.85,0.36,5.0,0.0
2025-10-27,1380.5,1397.0,1399.0,1365.0,2990.0,248426310.0,2.45,0.72,10.0,0.0
2025-10-28,1394.0,1382.5,1404.0,1380.5,3033.0,253613040.0,1.7,-0.14,-2.0,0.0
2025-10-29,1380.0,1452.0,1452.5,1379.5,5029.0,427803744.0,5.24,4.2,58.5,0.0
2025-10-30,1444.0,1428.5,1455.0,1421.0,4862.0,419873616.0,2.4,0.78,11.0,0.0
2025-10-31,1437.0,1420.0,1444.5,1406.0,5013.0,429337088.0,2.68,-1.32,-19.0,0.0
2025-11-03,1425.0,1411.5,1427.0,1398.5,4808.0,407883088.0,2.0,-1.09,-15.5,0.0
2025-11-04,1415.0,1374.0,1420.0,1369.5,4467.0,373766304.0,3.57,-2.79,-39.5,0.0
2025-11-05,1379.5,1399.0,1407.0,1370.5,3938.0,329052064.0,2.62,0.32,4.5,0.0
2025-11-06,1392.0,1400.5,1417.0,1390.5,6809.0,573885968.0,1.9,0.57,8.0,0.0
2025-11-07,1400.0,1369.5,1405.0,1357.0,8703.0,718864464.0,3.42,-2.49,-35.0,0.0
2025-11-10,1370.0,1359.0,1378.0,1333.5,7820.0,634983872.0,3.23,-1.27,-17.5,0.0
2025-11-11,1362.5,1341.0,1379.0,1340.5,8086.0,656302352.0,2.85,-0.89,-12.0,0.0
2025-11-12,1340.0,1352.0,1357.5,1337.0,3673.0,296937088.0,1.52,-0.04,-0.5,0.0
2025-11-13,1358.0,1326.5,1358.0,1315.0,5130.0,409343584.0,3.19,-1.52,-20.5,0.0
2025-11-14,1329.5,1322.0,1335.0,1308.0,4562.0,361572624.0,2.03,-0.56,-7.5,0.0
2025-11-17,1324.5,1346.0,1354.5,1321.5,5824.0,468154144.0,2.5,1.93,25.5,0.0
2025-11-18,1344.5,1306.0,1344.5,1300.0,6759.0,533399248.0,3.32,-2.5,-33.5,0.0
2025-11-19,1306.0,1278.0,1310.0,1274.0,5704.0,442422480.0,2.74,-2.81,-37.0,0.0
2025-11-20,1278.0,1250.0,1283.0,1220.0,10992.0,821024432.0,4.87,-3.29,-42.5,0.0
2025-11-21,1250.0,1255.5,1272.5,1247.5,8581.0,649412128.0,2.01,0.88,11.0,0.0
2025-11-24,1264.5,1242.5,1264.5,1222.5,13440.0,1004054544.0,3.33,-1.47,-18.5,0.0
2025-11-25,1245.0,1252.0,1271.0,1239.0,7494.0,563839824.0,2.57,0.56,7.0,0.0
2025-11-26,1249.0,1243.5,1252.0,1216.0,9770.0,724161632.0,2.87,-0.8,-10.0,0.0
2025-11-27,1225.0,1232.5,1248.0,1222.0,5332.0,395291488.0,2.11,-0.2,-2.5,0.0
2025-11-28,1222.0,1221.0,1232.5,1211.0,8605.0,629811456.0,1.74,-1.17,-14.5,0.0
2025-12-01,1216.0,1245.0,1253.5,1207.0,12174.0,902366288.0,3.81,2.09,25.5,0.0
2025-12-02,1239.0,1244.5,1250.0,1236.0,6863.0,511925904.0,1.13,0.77,9.5,0.0
2025-12-03,1243.0,1233.0,1249.0,1219.0,8968.0,660772048.0,2.41,-0.8,-10.0,0.0
2025-12-04,1233.0,1249.0,1253.5,1216.5,8624.0,639965136.0,3.01,1.71,21.0,0.0
2025-12-05,1245.0,1204.5,1257.0,1203.0,10991.0,808805824.0,4.37,-2.59,-32.0,0.0
2025-12-08,1208.0,1161.5,1208.0,1151.5,16980.0,1195163696.0,4.61,-5.26,-64.5,0.0
