snapshot_date,symbol,variety,report_scope,asset,temperature,strength,trend_rank,source,note,tm_id,ticker_symbol,is_trend_right_side,days_since_trend_entry,trend_phase_curr,trend_temperature_prev,trend_strength_local_change,return_1d,api_update_dt
2026-08-18,FU,燃油,commodity,商品期货,温,80.3,,trend_animal_api,API direct fact,300156,FU,False,,,平,,0.0406,2026-08-18 17:14:00
2026-08-18,EB,苯乙烯,commodity,商品期货,平,61.8,,trend_animal_api,API direct fact,308526,EB,False,,,平,,0.0105,2026-08-18 17:14:00
2026-08-18,LC,碳酸锂,commodity,商品期货,平,40.8,,trend_animal_api,API direct fact,308564,lc,False,,,平,,0.0104,2026-08-18 17:14:00
2026-08-18,M,豆粕,commodity,商品期货,温,92.1,,trend_animal_api,API direct fact,308534,M,False,,,平,,0.0199,2026-08-18 17:14:00
2026-08-18,JM,焦煤,commodity,商品期货,平,82.9,,trend_animal_api,API direct fact,308549,JM,False,,,平,,0.0126,2026-08-18 17:14:00
2026-08-18,I,铁矿石,commodity,商品期货,,42.4,,trend_animal_api,API direct fact,710425,I2708,False,,立夏,,,0.0087,2026-08-18 17:14:00
2026-08-18,JD,鸡蛋,commodity,商品期货,平,23.7,,trend_animal_api,API direct fact,308545,JD,False,,,平,,-0.0126,2026-08-18 17:14:00
2026-08-18,AU,黄金,commodity,商品期货,温,94.9,,trend_animal_api,API direct fact,707175,AU2708,True,14.0,夏至,温,,0.0008,2026-08-18 17:14:00
2026-08-18,AG,白银,commodity,商品期货,,30.3,,trend_animal_api,API direct fact,711031,AG2708,False,,立冬,,,-0.0029,2026-08-18 17:14:00
2026-08-18,LH,生猪,commodity,商品期货,平,28.9,,trend_animal_api,API direct fact,308562,LH,False,,,平,,0.0066,2026-08-18 17:14:00
2026-08-18,P,棕榈油,commodity,商品期货,温,64.5,,trend_animal_api,API direct fact,308577,P,False,,,平,,0.0098,2026-08-18 17:14:00
2026-08-18,IH,上证50,stock_index,ETF基金,温,52.5,,trend_animal_api,API direct fact,328631,510190,False,,,温,,-0.0005,2026-08-18 17:14:00
