symbol,variety,contract,market,source_date,open,high,low,close,change_pct,change_amount,volume,turnover,amplitude_pct,source,source_url,validation_status,sina_close,quhe_code,status
RU,天然橡胶,rum,,2026-08-13,17950.0,17990.0,17805.0,17875.0,-0.36231884,-65.0,140859.0,25193492500.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,16950.0,JO_165668,OK
I,铁矿石,im,,2026-08-13,706.5,712.0,703.5,705.0,-0.21231423,-1.5,207232.0,14663403500.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,721.5,JO_165977,OK
NI,沪镍,nim,,2026-08-13,129500.0,130050.0,127880.0,128000.0,-0.4123551,-530.0,163883.0,21098475500.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,128000.0,JO_165590,OK
V,PVC,vm,,2026-08-13,4528.0,4536.0,4467.0,4511.0,-0.41942605,-19.0,656753.0,14784026600.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4511.0,JO_165822,OK
SS,不锈钢,ssm,,2026-08-13,14580.0,14625.0,14350.0,14385.0,-0.96385545,-140.0,141325.0,10202199000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,14385.0,JO_233721,OK
RB,螺纹钢,rbm,,2026-08-13,3007.0,3014.0,2991.0,3002.0,-0.29890403,-9.0,752933.0,22615279600.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3002.0,JO_165681,OK
PG,液化气,pgm,,2026-08-13,5400.0,5409.0,5335.0,5381.0,-0.09283327,-5.0,62409.0,6708159000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5381.0,JO_291854,OK
SM,锰硅,SM2609,,2026-08-13,5786.000,5792.000,5750.000,5778.0,-0.06918021445866396,-4.0,63092,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_ONLY,5778.0,,OK
RM,菜粕,RMm,,2026-08-13,2291.0,2304.0,2277.0,2285.0,-0.43572983,-10.0,364959.0,835026180.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2285.0,JO_166106,OK
PP,PP,ppm,,2026-08-13,8356.0,8443.0,8319.0,8421.0,1.2748046,106.0,433586.0,18165159900.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8421.0,JO_165874,OK
SA,纯碱,SAm,,2026-08-13,988.0,992.0,959.0,975.0,-1.5151515,-15.0,1466102.0,1426517250.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,975.0,JO_233773,OK
B,豆二,bm,,2026-08-13,3825.0,3844.0,3790.0,3832.0,0.92178035,35.0,152844.0,5833842200.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3832.0,JO_165925,OK
SI,工业硅,sim,,2026-08-13,8610.0,8630.0,8535.0,8575.0,-0.6373117,-55.0,139851.0,6000596500.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8575.0,JO_322422,OK
SF,硅铁,SF2611,,2026-08-13,5904.000,5910.000,5868.000,5896.0,-0.5062436719540986,-30.0,327322,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_ONLY,5896.0,,OK
SR,白糖,SRm,,2026-08-13,5356.0,5358.0,5268.0,5291.0,-0.91760296,-49.0,353163.0,1872470270.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,5155.0,JO_166055,OK
FU,燃料油,fum,,2026-08-13,3743.0,3806.0,3725.0,3788.0,1.500536,56.0,491337.0,18517071900.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3788.0,JO_165770,OK
PR,瓶片,PRm,,2026-08-13,7130.0,7200.0,7058.0,7164.0,0.8729936,62.0,56630.0,403318848.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7164.0,JO_343068,OK
PK,花生,PKm,,2026-08-13,8202.0,8202.0,8170.0,8194.0,-0.07317073,-6.0,90932.0,744369340.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8194.0,JO_291867,OK
BU,沥青,bum,,2026-08-13,4304.0,4340.0,4288.0,4329.0,0.8385744,36.0,142278.0,6133783600.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4329.0,JO_165694,OK
LC,碳酸锂,lcm,,2026-08-13,150100.0,152440.0,147100.0,151420.0,1.733405,2580.0,155766.0,23326933000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,151420.0,JO_336104,OK
SN,沪锡,snm,,2026-08-13,432860.0,433980.0,422050.0,425650.0,-0.72766286,-3120.0,175729.0,75074830000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,425650.0,JO_165603,OK
LH,生猪,lhm,,2026-08-13,12045.0,12320.0,11980.0,12305.0,2.1161826,255.0,183075.0,35599917000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,12305.0,JO_291821,OK
J,焦炭,jm,,2026-08-13,1899.0,1907.0,1882.5,1890.5,-0.8912189,-17.0,21400.0,4054775040.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,1890.5,JO_166003,OK
C,玉米,cm,,2026-08-13,2262.0,2263.0,2250.0,2259.0,-0.044247787,-1.0,355658.0,8025246200.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2259.0,JO_165796,OK
MA,甲醇,MAm,,2026-08-13,2600.0,2663.0,2596.0,2636.0,1.6191211,42.0,672859.0,1767600640.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2636.0,JO_166093,OK
HC,热卷,hcm,,2026-08-13,3236.0,3244.0,3226.0,3233.0,-0.33908755,-11.0,297388.0,9622787100.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3233.0,JO_165719,OK
EG,乙二醇,egm,,2026-08-13,4900.0,4900.0,4808.0,4862.0,0.041152265,2.0,511036.0,24842471400.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4862.0,JO_233664,OK
JM,焦煤,jmm,,2026-08-13,1330.0,1330.0,1312.5,1320.5,-1.1971568,-16.0,443999.0,35180233000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,1320.5,JO_165990,OK
EB,苯乙烯,ebm,,2026-08-13,8320.0,8406.0,8275.0,8370.0,0.46813107,39.0,273121.0,11380091900.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8370.0,JO_233677,OK
A,豆一,am,,2026-08-13,4890.0,4986.0,4864.0,4986.0,1.9006743,93.0,326205.0,16036944900.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,4934.0,JO_165900,OK
FG,玻璃,FGm,,2026-08-13,879.0,881.0,859.0,871.0,-1.9144144,-17.0,1842523.0,1601152510.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,871.0,JO_166080,OK
AD,铝合金,ad2610,,2026-08-13,23615.000,23685.000,23305.000,23395.0,-1.161808196028724,-275.0,9879,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_ONLY,23395.0,,OK
JD,鸡蛋,jdm,,2026-08-13,3908.0,3942.0,3889.0,3909.0,1.7703723,68.0,670171.0,26235246600.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,4169.0,JO_165835,OK
PF,短纤,PFm,,2026-08-13,7362.0,7444.0,7312.0,7388.0,0.9565455,70.0,225496.0,1661003520.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7388.0,JO_291841,OK
AU,沪金,aum,,2026-08-13,964.38,965.78,950.22,952.96,-0.25956422,-2.4799805,307720.0,295228080000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,952.96,JO_165732,OK
SP,纸浆,spm,,2026-08-13,4646.0,4700.0,4632.0,4690.0,2.00087,92.0,392868.0,18315296800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,4698.0,JO_233708,OK
