report_date,source_date,symbol,variety,contract,market,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,status,source,source_url,fetched_at
20260721,2026-07-21,A,豆一2609,a2609,114,4704,4715,4738,4693,186357,8781752120,0.96,0.55,26,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,AD,铸造铝2609,ad2609,113,22850,22960,23015,22730,6996,1600256350,1.24,-0.28,-65,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,AG,沪银2610,ag2610,113,13823,14420,14453,13740,702545,147544838100,5.21,5.36,734,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,AL,沪铝2609,al2609,113,23025,23160,23200,22870,204658,23594988175,1.42,-0.22,-50,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,AO,氧化铝2609,ao2609,113,2725,2727,2734,2709,230841,12574939520,0.92,0.78,21,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,AP,苹果610,AP610,115,7441,7531,7557,7441,109922,8268332840,1.56,1.22,91,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,AU,沪金2608,au2608,113,874.84,889.66,890.90,872.30,169410,148950954060.00,2.13,1.78,15.52,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,B,豆二2609,b2609,114,3874,3856,3877,3845,155452,6000212110,0.84,0.86,33,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,BB,胶合板2609,bb2609,114,148.00,148.00,148.00,148.00,1,74000.00,0.00,0.07,0.10,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,BC,国际铜2608,bc2608,142,92930,94150,94430,92740,9186,4301666650,1.83,2.10,1940,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,BR,丁二烯胶2609,br2609,113,13625,13655,13740,13410,242415,16448988300,2.40,-0.80,-110,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,,BU,沥青2609,bu2609,113,,,,,,,,,,ERROR:RemoteDisconnected,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,BZ,纯苯2609,bz2609,114,7799,7575,7799,7555,29092,6648206640,3.21,-0.36,-27,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,C,玉米2609,c2609,114,2274,2272,2278,2268,355493,8082141490,0.44,-0.35,-8,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
20260721,2026-07-21,CF,棉花609,CF609,115,15995,15965,16010,15860,212625,16946212500,0.94,0.00,0,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-21T18:38:35+08:00
