symbol,variety,contract,market,source_date,open,high,low,close,change_pct,change_amount,volume,turnover,amplitude_pct,source,source_url,validation_status,sina_close,quhe_code,status
RB,螺纹钢,rb2610,,2026-08-14,3002.0,3037.0,3000.0,3015.0,0.4330446369087275,13.0,955904.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,3015.0,JO_165681,OK
EG,乙二醇,eg2609,,2026-08-14,4810.0,4962.0,4808.0,4950.0,1.809954751131222,88.0,652920.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,4950.0,JO_233664,OK
CU,沪铜,cu2609,,2026-08-14,107930.0,107990.0,107360.0,107690.0,0.2606833628153803,280.0,75051.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,107690.0,,OK
NI,沪镍,ni2609,,2026-08-14,128360.0,128820.0,126720.0,127040.0,-0.75,-960.0,166811.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,127040.0,JO_165590,OK
TA,PTA,TA2609,,2026-08-14,5706.0,5854.0,5668.0,5852.0,1.8447615732683604,106.0,697891.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,5852.0,JO_166029,OK
SI,工业硅,si2609,,2026-08-14,8580.0,8770.0,8505.0,8770.0,2.2740524781341107,195.0,252562.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,8770.0,JO_322422,OK
EB,苯乙烯,eb2610,,2026-08-14,8200.0,8405.0,8187.0,8393.0,1.5241320914479255,126.0,495132.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,8393.0,JO_233677,OK
AL,沪铝,al2609,,2026-08-14,24145.0,24170.0,23810.0,23885.0,-0.8509755085097551,-205.0,154495.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,23885.0,,OK
PP,PP,pp2609,,2026-08-14,8360.0,8485.0,8340.0,8464.0,0.5106281914261964,43.0,406111.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,8464.0,JO_165874,OK
PS,多晶硅,ps2609,,2026-08-14,38200.0,39055.0,37560.0,39030.0,2.1460350693535726,820.0,124302.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,39030.0,JO_344228,OK
FU,燃料油,fu2609,,2026-08-14,3727.0,3892.0,3722.0,3862.0,1.9535374868004225,74.0,549511.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,3862.0,JO_165770,OK
NR,20号胶,nr2610,,2026-08-14,14815.0,14825.0,14640.0,14745.0,-0.8406186953597847,-125.0,53597.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,14745.0,JO_233734,OK
LU,低硫油,lu2610,,2026-08-14,4601.0,4793.0,4553.0,4778.0,2.6423200859291085,123.0,131269.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,4778.0,JO_291828,OK
BC,国际铜,bc2609,,2026-08-14,96100.0,96380.0,95600.0,96010.0,0.4078644635013596,390.0,6663.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,96010.0,JO_291808,OK
ZN,沪锌,zn2609,,2026-08-14,25615.0,25730.0,25530.0,25655.0,0.410958904109589,105.0,85916.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,25655.0,,OK
SS,不锈钢,ss2610,,2026-08-14,14400.0,14420.0,14105.0,14115.0,-1.8769551616266946,-270.0,188510.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,14115.0,JO_233721,OK
BU,沥青,bu2609,,2026-08-14,4300.0,4378.0,4295.0,4344.0,0.3465003465003465,15.0,175338.0,0.0,,新浪财经主力合约日线（涨跌按前收盘）,https://finance.sina.com.cn/futuremarket/,SINA_DAILY,4344.0,JO_165694,OK
