source_date,symbol,warehouse_receipt,change,unit,status,source,source_url
2026-06-25,AG,848665.0,-3628.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-26,AG,842985.0,-5680.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-29,AG,825079.0,-17906.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-30,AG,823316.0,-1763.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-01,AG,822698.0,-618.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-02,AG,827902.0,5204.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-03,AG,834714.0,6812.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-06,AG,833519.0,-1195.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-07,AG,844013.0,10494.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-08,AG,849173.0,5160.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-09,AG,830200.0,-18973.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-10,AG,829858.0,-342.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-13,AG,836651.0,6793.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-14,AG,932061.0,95410.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-15,AG,928570.0,-3491.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-16,AG,936713.0,8143.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-17,AG,990039.0,53326.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-20,AG,977865.0,-12174.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-21,AG,968622.0,-9243.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-22,AG,971222.0,2600.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-23,AG,972624.0,1402.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-24,AG,978934.0,6310.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-25,AO,254472.0,-11411.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-26,AO,252977.0,-1495.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-29,AO,250289.0,-2688.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-30,AO,250289.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-01,AO,256871.0,6582.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-02,AO,265262.0,8391.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-03,AO,271574.0,6312.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-06,AO,270997.0,-577.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-07,AO,264409.0,-6588.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-08,AO,260505.0,-3904.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-09,AO,261120.0,615.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-10,AO,266527.0,5407.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-13,AO,271010.0,4483.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-14,AO,271010.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-15,AO,268905.0,-2105.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-16,AO,276388.0,7483.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-17,AO,286897.0,10509.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-20,AO,222273.0,-64624.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-21,AO,221370.0,-903.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-22,AO,222275.0,905.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-23,AO,229738.0,7463.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-24,AO,237860.0,8122.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-25,AU,111642.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-26,AU,111648.0,6.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-29,AU,111648.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-30,AU,111648.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-01,AU,111648.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-02,AU,112647.0,999.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-03,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-06,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-07,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-08,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-09,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-10,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-13,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-14,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-15,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-16,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-17,AU,112647.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-20,AU,112641.0,-6.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-21,AU,112641.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-22,AU,112641.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-23,AU,112641.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-24,AU,112641.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-25,FG,635.0,-44.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-26,FG,414.0,-221.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-29,FG,301.0,-113.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-30,FG,301.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-01,FG,301.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-02,FG,301.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-03,FG,301.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-06,FG,801.0,500.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-07,FG,798.0,-3.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-08,FG,798.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-09,FG,798.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-10,FG,798.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-13,FG,798.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-14,FG,798.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-15,FG,798.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-16,FG,798.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-17,FG,768.0,-30.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-20,FG,375.0,-393.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-21,FG,,-375.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-22,FG,,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-23,FG,,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-24,FG,,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-25,JD,10.0,10.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-26,JD,38.0,28.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-29,JD,38.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-06-30,JD,,-38.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-07,JM,550.0,550.0,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
2026-07-08,JM,550.0,,交易所披露单位,OK,东方财富期货库存数据,https://data.eastmoney.com/ifdata/kcsj.html
