report_date,source_date,symbol,variety,contract,close,change_pct,turnover,volume,open_interest,open_interest_change,open_interest_change_pct,capital_flow,status,source
20260819,2026-08-19,FU,燃料油,fu2609,4295,6.36,,,95200,-13967,-12.79,-123000000,OK,同花顺期货通截图
20260819,2026-08-19,JM,焦煤,jm2701,1586.5,3.46,,,494400,51695,11.68,1436000000,OK,同花顺期货通截图
20260819,2026-08-19,MA,甲醇,MA2610,2843,2.86,,,863500,62330,7.78,323000000,OK,同花顺期货通截图
20260819,2026-08-19,BU,沥青,bu2610,4394,2.59,,,316900,13779,4.55,204000000,OK,同花顺期货通截图
20260819,2026-08-19,BR,合成橡胶,br2610,14680,2.44,,,114300,7819,7.35,166000000,OK,同花顺期货通截图
20260819,2026-08-19,J,焦炭,j2609,1979,2.35,,,18700,-3688,-16.48,-160000000,OK,同花顺期货通截图
20260819,2026-08-19,C,玉米,c2611,2265,2.30,,,961500,66856,7.47,261000000,OK,同花顺期货通截图
20260819,2026-08-19,RM,菜粕,RM2611,2272,1.84,,,632300,807,0.13,21132000,OK,同花顺期货通截图
20260819,2026-08-19,PL,丙烯,PL2611,7843,1.74,,,25900,647,2.56,19302800,OK,同花顺期货通截图
20260819,2026-08-19,SI,工业硅,si2611,8825,1.61,,,299200,26969,9.91,265000000,OK,同花顺期货通截图
20260819,2026-08-19,SR,白糖,SR2701,5379,1.59,,,586800,15832,2.77,143000000,OK,同花顺期货通截图
20260819,2026-08-19,B,豆二,b2611,4032,1.46,,,232900,26871,13.04,159000000,OK,同花顺期货通截图
20260819,2026-08-19,LU,低硫油,lu2610,4998,1.44,,,89500,7472,9.11,121000000,OK,同花顺期货通截图
20260819,2026-08-19,NR,20号胶,nr2610,15165,1.37,,,54700,2324,4.44,80881100,OK,同花顺期货通截图
20260819,2026-08-19,BZ,纯苯,bz2609,7745,1.36,,,9291,-2428,-20.72,-111000000,OK,同花顺期货通截图
20260819,2026-08-19,EG,乙二醇,eg2609,5311,1.32,,,252000,-41148,-14.04,-541000000,OK,同花顺期货通截图
20260819,2026-08-19,RU,天然橡胶,ru2701,18215,1.22,,,133900,12157,9.99,438000000,OK,同花顺期货通截图
20260819,2026-08-19,Y,豆油,y2701,8747,1.19,,,687800,51215,8.05,674000000,OK,同花顺期货通截图
20260819,2026-08-19,PG,液化气,pg2610,5683,1.05,,,103400,-2783,-2.62,-66785300,OK,同花顺期货通截图
20260819,2026-08-19,CF,棉花,CF2701,16975,1.04,,,527600,39965,8.20,524000000,OK,同花顺期货通截图
20260819,2026-08-19,OI,菜油,OI2611,10568,1.00,,,346000,25347,7.90,443000000,OK,同花顺期货通截图
20260819,2026-08-19,P,棕榈油,p2701,9994,0.99,,,555200,14301,2.64,270000000,OK,同花顺期货通截图
20260819,2026-08-19,EB,苯乙烯,eb2610,8681,0.94,,,308800,9205,3.07,66631000,OK,同花顺期货通截图
20260819,2026-08-19,SH,烧碱,SH2611,1932,0.89,,,235900,4343,1.88,54723300,OK,同花顺期货通截图
20260819,2026-08-19,M,豆粕,m2701,3246,0.87,,,2505800,79244,3.27,377000000,OK,同花顺期货通截图
20260819,2026-08-19,I,铁矿石,i2701,712,0.78,,,507000,3468,0.69,32167400,OK,同花顺期货通截图
20260819,2026-08-19,SM,锰硅,SM2611,5922,0.65,,,400100,-33414,-7.71,-131000000,OK,同花顺期货通截图
20260819,2026-08-19,PP,聚丙烯,pp2609,8677,0.56,,,218400,-45244,-17.16,-421000000,OK,同花顺期货通截图
20260819,2026-08-19,L,塑料,l2609,8177,0.50,,,134400,-48414,-26.48,-436000000,OK,同花顺期货通截图
20260819,2026-08-19,UR,尿素,UR2701,1742,0.46,,,217300,22025,11.28,128000000,OK,同花顺期货通截图
20260819,2026-08-19,HC,热卷,hc2610,3286,0.40,,,1182900,-61366,-4.93,-274000000,OK,同花顺期货通截图
20260819,2026-08-19,CJ,红枣,CJ2701,8285,0.36,,,151700,1100,0.73,13919200,OK,同花顺期货通截图
20260819,2026-08-19,CY,棉纱,CY2611,22970,0.35,,,14400,-81,-0.56,-458600,OK,同花顺期货通截图
20260819,2026-08-19,PB,沪铅,pb2610,15930,0.31,,,80000,-204,-0.25,-1369800,OK,同花顺期货通截图
20260819,2026-08-19,A,豆一,a2611,5074,0.30,,,404300,4450,1.11,28811900,OK,同花顺期货通截图
20260819,2026-08-19,PR,瓶片,PR2610,7482,0.29,,,43800,482,1.11,5206100,OK,同花顺期货通截图
20260819,2026-08-19,RB,螺纹钢,rb2610,3017,0.27,,,1949400,-44954,-2.25,-207000000,OK,同花顺期货通截图
20260819,2026-08-19,SF,硅铁,SF2611,5956,0.17,,,434300,290,0.07,-4259100,OK,同花顺期货通截图
20260819,2026-08-19,PF,短纤,PF2610,7638,0.16,,,209400,172,0.08,-5525900,OK,同花顺期货通截图
20260819,2026-08-19,V,PVC,v2701,4746,0.11,,,794200,101083,14.58,337000000,OK,同花顺期货通截图
