snapshot_date,symbol,variety,report_scope,asset,temperature,strength,trend_rank,source,note,tm_id,ticker_symbol,is_trend_right_side,days_since_trend_entry,trend_phase_curr,trend_temperature_prev,trend_strength_local_change,return_1d,api_update_dt
2026-07-22,M,豆粕,commodity,商品期货,热,80,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,M,True,8,,,,,
2026-07-22,B,豆二,commodity,商品期货,温,50,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,B,False,3,,,,,
2026-07-22,A,豆一,commodity,商品期货,凉,100,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,A,False,-6,,,,,
2026-07-22,AG,沪银,commodity,商品期货,凉,96,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,AG,False,-6,,,,,
2026-07-22,AO,氧化铝,commodity,商品期货,凉,85,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,AO,False,-16,,,,,
2026-07-22,UR,尿素,commodity,商品期货,凉,81,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,UR,False,-28,,,,,
2026-07-22,HC,热卷,commodity,商品期货,凉,70,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,HC,False,-10,,,,,
2026-07-22,PS,多晶硅,commodity,商品期货,凉,56,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,PS,False,-6,,,,,
2026-07-22,PB,沪铅,commodity,商品期货,凉,52,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,PB,False,-8,,,,,
2026-07-22,SR,白糖,commodity,商品期货,凉,44,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,SR,False,-7,,,,,
2026-07-22,LC,碳酸锂,commodity,商品期货,寒,41,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,LC,True,8,,,,,
2026-07-22,C,玉米,commodity,商品期货,寒,37,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,C,False,-28,,,,,
2026-07-22,SM,锰硅,commodity,商品期货,寒,33,,trend_animal_screenshot,用户提供的当日趋势截图；截图标注凉转寒，不使用截图行情替代东方财富收盘价,,SM,False,-1,凉转寒,,,,
2026-07-22,SH,烧碱,commodity,商品期货,凉,30,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,SH,False,-6,,,,,
2026-07-22,FG,玻璃,commodity,商品期货,凉,26,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,FG,False,-114,,,,,
2026-07-22,LH,生猪,commodity,商品期货,寒,22,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,LH,False,-6,,,,,
2026-07-22,CJ,红枣,commodity,商品期货,寒,7,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,CJ,False,-37,,,,,
2026-07-22,SA,纯碱,commodity,商品期货,凉,0,,trend_animal_screenshot,用户提供的当日趋势截图；人工转录趋势字段，不使用截图行情替代东方财富收盘价,,SA,False,-69,,,,,
