snapshot_date,symbol,variety,report_scope,asset,temperature,strength,trend_rank,source,note,tm_id,ticker_symbol,is_trend_right_side,days_since_trend_entry,trend_phase_curr,trend_temperature_prev,trend_strength_local_change,return_1d,api_update_dt
2026-07-16,FU,燃油,commodity,商品期货,平,92.2,,trend_animal_api,API direct fact,300156,FU,False,,,平,,-0.0069,2026-07-16 18:13:00
2026-07-16,EB,苯乙烯,commodity,商品期货,平,97.4,,trend_animal_api,API direct fact,308526,EB,False,,,平,,0.0026,2026-07-16 18:13:00
2026-07-16,LC,碳酸锂,commodity,商品期货,寒,16.9,,trend_animal_api,API direct fact,308564,lc,False,-2.0,寒露,寒,,0.0154,2026-07-16 18:13:00
2026-07-16,M,豆粕,commodity,商品期货,热,100.0,,trend_animal_api,API direct fact,308534,M,True,2.0,立夏,热,,0.0008,2026-07-16 18:13:00
2026-07-16,JM,焦煤,commodity,商品期货,平,28.6,,trend_animal_api,API direct fact,308549,JM,False,,,平,,-0.0092,2026-07-16 18:13:00
2026-07-16,JD,鸡蛋,commodity,商品期货,温,76.6,,trend_animal_api,API direct fact,308545,JD,False,,,温,,-0.0047,2026-07-16 18:13:00
2026-07-16,AU,黄金,commodity,商品期货,,50.8,,trend_animal_api,API direct fact,707175,AU2708,False,,,,,-0.0046,2026-07-16 18:13:00
2026-07-16,AG,白银,commodity,商品期货,,50.8,,trend_animal_api,API direct fact,707180,AG2707,False,,,,,-0.0317,2026-07-16 18:13:00
2026-07-16,LH,生猪,commodity,商品期货,凉,15.6,,trend_animal_api,API direct fact,308562,LH,False,,,凉,,-0.0045,2026-07-16 18:13:00
2026-07-16,IH,上证50,stock_index,ETF基金,凉,58.5,,trend_animal_api,API direct fact,328631,510190,False,,,温,,-0.0224,2026-07-16 18:13:00
