symbol,contract,broker,long_pos,long_chg,short_pos,short_chg,net_pos,flow_score,add_long,reduce_long,add_short,reduce_short
NR,nr2610,东证期货,4516,-151,4296,307,220,-458,0,151,307,0
NR,nr2610,高盛期货,4440,-24,0,0,4440,-24,0,24,0,0
NR,nr2610,中信期货,4311,33,5398,-176,-1087,209,33,0,0,176
NR,nr2610,国泰君安,4136,-146,7382,-1231,-3246,1085,0,146,0,1231
NR,nr2610,摩根大通,3645,27,0,0,3645,27,27,0,0,0
NR,nr2610,永安期货,3339,19,3603,-175,-264,194,19,0,0,175
NR,nr2610,广发期货,1517,-116,2039,-21,-522,-95,0,116,0,21
NR,nr2610,瑞银期货,1455,-173,0,0,1455,-173,0,173,0,0
NR,nr2610,中金财富,1436,7,0,0,1436,7,7,0,0,0
NR,nr2610,华泰期货,1181,33,2181,51,-1000,-18,33,0,51,0
NR,nr2610,中粮期货,1178,25,944,35,234,-10,25,0,35,0
NR,nr2610,银河期货,1146,-17,3778,65,-2632,-82,0,17,65,0
NR,nr2610,国信期货,1143,11,0,0,1143,11,11,0,0,0
NR,nr2610,华闻期货,1029,43,0,0,1029,43,43,0,0,0
NR,nr2610,东吴期货,1022,-68,0,0,1022,-68,0,68,0,0
NR,nr2610,五矿期货,1010,52,0,0,1010,52,52,0,0,0
NR,nr2610,正信期货,1002,-176,0,0,1002,-176,0,176,0,0
NR,nr2610,中信建投,889,132,0,0,889,132,132,0,0,0
NR,nr2610,平安期货,877,67,0,0,877,67,67,0,0,0
NR,nr2610,中辉期货,855,87,0,0,855,87,87,0,0,0
NR,nr2610,南华期货,0,0,2671,13,-2671,-13,0,0,13,0
NR,nr2610,浙商期货,0,0,2443,44,-2443,-44,0,0,44,0
NR,nr2610,物产中大,0,0,1724,34,-1724,-34,0,0,34,0
NR,nr2610,大地期货,0,0,1679,67,-1679,-67,0,0,67,0
NR,nr2610,宝城期货,0,0,1484,121,-1484,-121,0,0,121,0
NR,nr2610,中泰期货,0,0,1355,1,-1355,-1,0,0,1,0
NR,nr2610,中银期货,0,0,1310,11,-1310,-11,0,0,11,0
NR,nr2610,西部期货,0,0,1013,88,-1013,-88,0,0,88,0
NR,nr2610,瑞达期货,0,0,814,5,-814,-5,0,0,5,0
NR,nr2610,建信期货,0,0,767,136,-767,-136,0,0,136,0
NR,nr2610,新湖期货,0,0,748,11,-748,-11,0,0,11,0
NR,nr2610,财信期货,0,0,682,54,-682,-54,0,0,54,0
PP,pp2701,国泰君安,68961,4753,70587,2850,-1626,1903,4753,0,2850,0
PP,pp2701,中信期货,61692,4515,49167,1245,12525,3270,4515,0,1245,0
PP,pp2701,东证期货,51864,2257,28825,-295,23039,2552,2257,0,0,295
PP,pp2701,高盛期货,34935,606,0,0,34935,606,606,0,0,0
PP,pp2701,中金财富,28644,3026,0,0,28644,3026,3026,0,0,0
PP,pp2701,银河期货,22866,-47,17396,1413,5470,-1460,0,47,1413,0
PP,pp2701,永安期货,19823,2417,34711,2088,-14888,329,2417,0,2088,0
PP,pp2701,华泰期货,12010,241,30299,2084,-18289,-1843,241,0,2084,0
PP,pp2701,广发期货,11069,892,32361,2918,-21292,-2026,892,0,2918,0
PP,pp2701,浙商期货,9589,1068,17911,896,-8322,172,1068,0,896,0
PP,pp2701,平安期货,8234,1800,0,0,8234,1800,1800,0,0,0
PP,pp2701,瑞达期货,8032,-887,0,0,8032,-887,0,887,0,0
PP,pp2701,光大期货,7593,-559,0,0,7593,-559,0,559,0,0
PP,pp2701,中信建投,6944,180,6535,2076,409,-1896,180,0,2076,0
PP,pp2701,瑞银期货,6781,205,0,0,6781,205,205,0,0,0
PP,pp2701,东吴期货,5408,506,0,0,5408,506,506,0,0,0
PP,pp2701,国投安信,5366,573,13368,744,-8002,-171,573,0,744,0
PP,pp2701,摩根大通,5282,133,0,0,5282,133,133,0,0,0
PP,pp2701,海通期货,4938,647,7495,-1432,-2557,2079,647,0,0,1432
PP,pp2701,混沌天成,4750,140,0,0,4750,140,140,0,0,0
PP,pp2701,中粮期货,0,0,9166,-171,-9166,171,0,0,0,171
PP,pp2701,南华期货,0,0,8890,557,-8890,-557,0,0,557,0
PP,pp2701,东亚期货,0,0,7367,-32,-7367,32,0,0,0,32
PP,pp2701,海证期货,0,0,6728,1300,-6728,-1300,0,0,1300,0
PP,pp2701,创元期货,0,0,6094,-30,-6094,30,0,0,0,30
PP,pp2701,方正中期,0,0,6028,647,-6028,-647,0,0,647,0
PP,pp2701,紫金天风,0,0,6023,493,-6023,-493,0,0,493,0
PP,pp2701,中泰期货,0,0,5799,543,-5799,-543,0,0,543,0
PP,pp2701,东海期货,0,0,5702,248,-5702,-248,0,0,248,0
TA,ta2701,国泰君安,102090,4213,104049,-253,-1959,4466,4213,0,0,253
TA,ta2701,东证期货,87940,241,74465,11753,13475,-11512,241,0,11753,0
TA,ta2701,中信期货,75358,3136,57180,13231,18178,-10095,3136,0,13231,0
TA,ta2701,高盛期货,47514,2273,0,0,47514,2273,2273,0,0,0
TA,ta2701,摩根大通,32027,765,0,0,32027,765,765,0,0,0
TA,ta2701,华泰期货,30848,577,25590,-2328,5258,2905,577,0,0,2328
TA,ta2701,瑞银期货,27275,-29,0,0,27275,-29,0,29,0,0
TA,ta2701,中粮期货,27056,-550,0,0,27056,-550,0,550,0,0
TA,ta2701,光大期货,26054,3197,10957,1587,15097,1610,3197,0,1587,0
TA,ta2701,中金财富,24937,1159,15398,731,9539,428,1159,0,731,0
TA,ta2701,银河期货,22091,-1615,53082,-21070,-30991,19455,0,1615,0,21070
TA,ta2701,广发期货,18994,1131,12203,-169,6791,1300,1131,0,0,169
TA,ta2701,永安期货,14686,731,48239,7902,-33553,-7171,731,0,7902,0
TA,ta2701,国贸期货,13233,247,26458,-2957,-13225,3204,247,0,0,2957
TA,ta2701,申银万国,11746,217,10752,2668,994,-2451,217,0,2668,0
TA,ta2701,海证期货,11252,1036,0,0,11252,1036,1036,0,0,0
TA,ta2701,国信期货,10811,606,0,0,10811,606,606,0,0,0
TA,ta2701,冠通期货,10587,5503,11129,5275,-542,228,5503,0,5275,0
TA,ta2701,建信期货,10208,-187,0,0,10208,-187,0,187,0,0
TA,ta2701,平安期货,10031,-61,0,0,10031,-61,0,61,0,0
TA,ta2701,中银国际,0,0,33875,-67,-33875,67,0,0,0,67
TA,ta2701,东吴期货,0,0,23721,-89,-23721,89,0,0,0,89
TA,ta2701,瑞达期货,0,0,18246,1302,-18246,-1302,0,0,1302,0
TA,ta2701,恒力期货,0,0,18183,2388,-18183,-2388,0,0,2388,0
TA,ta2701,南华期货,0,0,11544,1263,-11544,-1263,0,0,1263,0
TA,ta2701,国投安信,0,0,10568,1639,-10568,-1639,0,0,1639,0
TA,ta2701,大越期货,0,0,10443,1203,-10443,-1203,0,0,1203,0
TA,ta2701,浙商期货,0,0,10376,-130,-10376,130,0,0,0,130
V,v2701,中财期货,142706,669,0,0,142706,669,669,0,0,0
V,v2701,东证期货,51309,6915,31914,-742,19395,7657,6915,0,0,742
V,v2701,国泰君安,43949,7801,102678,7909,-58729,-108,7801,0,7909,0
V,v2701,物产中大,35064,319,0,0,35064,319,319,0,0,0
V,v2701,五矿期货,32594,277,0,0,32594,277,277,0,0,0
V,v2701,华泰期货,31627,-751,39773,4201,-8146,-4952,0,751,4201,0
V,v2701,信达期货,30711,478,0,0,30711,478,478,0,0,0
V,v2701,永安期货,30240,5407,28155,4274,2085,1133,5407,0,4274,0
V,v2701,中信期货,24096,3207,97490,11628,-73394,-8421,3207,0,11628,0
V,v2701,银河期货,20690,1986,32048,4423,-11358,-2437,1986,0,4423,0
V,v2701,方正中期,20299,3821,10494,1247,9805,2574,3821,0,1247,0
V,v2701,国投安信,19201,1284,45488,1827,-26287,-543,1284,0,1827,0
V,v2701,国信期货,15891,778,20866,26,-4975,752,778,0,26,0
V,v2701,华鑫期货,15836,709,0,0,15836,709,709,0,0,0
V,v2701,安粮期货,15369,-150,0,0,15369,-150,0,150,0,0
V,v2701,浙商期货,15050,4089,0,0,15050,4089,4089,0,0,0
V,v2701,徽商期货,12388,245,0,0,12388,245,245,0,0,0
