symbol,contract,broker,long_pos,long_chg,short_pos,short_chg,net_pos,flow_score,add_long,reduce_long,add_short,reduce_short
NR,nr2610,高盛期货,4279,720,0,0,4279,720,720,0,0,0
NR,nr2610,东证期货,4253,61,3869,343,384,-282,61,0,343,0
NR,nr2610,国泰君安,4159,69,8244,-291,-4085,360,69,0,0,291
NR,nr2610,中信期货,3751,611,6048,640,-2297,-29,611,0,640,0
NR,nr2610,摩根大通,3460,101,660,-329,2800,430,101,0,0,329
NR,nr2610,永安期货,1884,-21,2570,581,-686,-602,0,21,581,0
NR,nr2610,瑞银期货,1860,-211,0,0,1860,-211,0,211,0,0
NR,nr2610,广发期货,1523,-171,1784,160,-261,-331,0,171,160,0
NR,nr2610,中金财富,1369,123,0,0,1369,123,123,0,0,0
NR,nr2610,东吴期货,1271,-29,0,0,1271,-29,0,29,0,0
NR,nr2610,银河期货,1244,-108,3524,350,-2280,-458,0,108,350,0
NR,nr2610,正信期货,1183,-5,0,0,1183,-5,0,5,0,0
NR,nr2610,华泰期货,1109,45,1992,-27,-883,72,45,0,0,27
NR,nr2610,国信期货,1055,91,0,0,1055,91,91,0,0,0
NR,nr2610,五矿期货,1037,248,0,0,1037,248,248,0,0,0
NR,nr2610,华闻期货,983,122,0,0,983,122,122,0,0,0
NR,nr2610,中信建投,905,-36,0,0,905,-36,0,36,0,0
NR,nr2610,中粮期货,802,362,813,71,-11,291,362,0,71,0
NR,nr2610,新湖期货,800,130,718,-259,82,389,130,0,0,259
NR,nr2610,中辉期货,738,15,0,0,738,15,15,0,0,0
NR,nr2610,南华期货,0,0,2475,212,-2475,-212,0,0,212,0
NR,nr2610,浙商期货,0,0,2268,121,-2268,-121,0,0,121,0
NR,nr2610,大地期货,0,0,1591,74,-1591,-74,0,0,74,0
NR,nr2610,中银期货,0,0,1406,-119,-1406,119,0,0,0,119
NR,nr2610,中泰期货,0,0,1345,120,-1345,-120,0,0,120,0
NR,nr2610,物产中大,0,0,1317,-65,-1317,65,0,0,0,65
NR,nr2610,宝城期货,0,0,1236,46,-1236,-46,0,0,46,0
NR,nr2610,海证期货,0,0,880,331,-880,-331,0,0,331,0
NR,nr2610,瑞达期货,0,0,796,-122,-796,122,0,0,0,122
NR,nr2610,国贸期货,0,0,680,72,-680,-72,0,0,72,0
PP,pp2701,国泰君安,66246,6411,64633,2498,1613,3913,6411,0,2498,0
PP,pp2701,中信期货,53884,5654,47805,4249,6079,1405,5654,0,4249,0
PP,pp2701,东证期货,37977,6943,29128,5342,8849,1601,6943,0,5342,0
PP,pp2701,高盛期货,31478,5048,0,0,31478,5048,5048,0,0,0
PP,pp2701,中金财富,23900,2818,0,0,23900,2818,2818,0,0,0
PP,pp2701,银河期货,22241,762,14671,949,7570,-187,762,0,949,0
PP,pp2701,永安期货,19837,902,31657,2180,-11820,-1278,902,0,2180,0
PP,pp2701,华泰期货,12649,1970,26533,16,-13884,1954,1970,0,16,0
PP,pp2701,广发期货,9835,195,22653,5078,-12818,-4883,195,0,5078,0
PP,pp2701,浙商期货,8760,-878,15603,857,-6843,-1735,0,878,857,0
PP,pp2701,光大期货,7478,289,0,0,7478,289,289,0,0,0
PP,pp2701,瑞银期货,6451,-71,0,0,6451,-71,0,71,0,0
PP,pp2701,中信建投,6185,583,0,0,6185,583,583,0,0,0
PP,pp2701,瑞达期货,5101,1485,0,0,5101,1485,1485,0,0,0
PP,pp2701,摩根大通,5070,798,0,0,5070,798,798,0,0,0
PP,pp2701,国投安信,4798,1443,13371,2306,-8573,-863,1443,0,2306,0
PP,pp2701,平安期货,4797,722,0,0,4797,722,722,0,0,0
PP,pp2701,东吴期货,4418,338,0,0,4418,338,338,0,0,0
PP,pp2701,海通期货,4345,720,8138,558,-3793,162,720,0,558,0
PP,pp2701,方正中期,4323,326,5434,1121,-1111,-795,326,0,1121,0
PP,pp2701,中粮期货,0,0,8785,421,-8785,-421,0,0,421,0
PP,pp2701,南华期货,0,0,8034,1793,-8034,-1793,0,0,1793,0
PP,pp2701,创元期货,0,0,5786,435,-5786,-435,0,0,435,0
PP,pp2701,新湖期货,0,0,5718,498,-5718,-498,0,0,498,0
PP,pp2701,紫金天风,0,0,5414,604,-5414,-604,0,0,604,0
PP,pp2701,东亚期货,0,0,5393,31,-5393,-31,0,0,31,0
PP,pp2701,中泰期货,0,0,5291,673,-5291,-673,0,0,673,0
PP,pp2701,东海期货,0,0,5235,846,-5235,-846,0,0,846,0
