report_date,source_date,symbol,variety,contract,close,change_pct,turnover,volume,open_interest,open_interest_change,open_interest_change_pct,capital_flow,status,source
20260812,2026-08-12,LC,碳酸锂,lc2609,149700,2.97,23544000000,158200,233800,-20872,-8.20,-644000000,OK,同花顺期货通桌面自选
20260812,2026-08-12,AG,沪银,ag2610,16154,1.85,153567000000,643000,324300,10446,3.33,1955000000,OK,同花顺期货通桌面自选
20260812,2026-08-12,SN,沪锡,sn2609,431480,1.40,73172000000,170700,48600,1073,2.26,231000000,OK,同花顺期货通桌面自选
20260812,2026-08-12,AU,沪金,au2610,958.54,0.67,225983000000,236500,200400,-3185,-1.56,-417000000,OK,同花顺期货通桌面自选
20260812,2026-08-12,FU,燃料油,fu2609,3760,3.33,23299000000,624200,123700,-9684,-7.26,-106000000,OK,同花顺期货通桌面自选
20260812,2026-08-12,JM,焦煤,jm2609,1337.5,2.06,44542000000,555400,306700,-36972,-10.76,-742000000,OK,同花顺期货通桌面自选
20260812,2026-08-12,FG,玻璃,FG2609,878,-1.90,25787000000,1452000,1223700,10107,0.83,-68536100,OK,同花顺期货通桌面自选
20260812,2026-08-12,SA,纯碱,SA2609,987,0.41,28862000000,1457700,837900,-87452,-9.45,-303000000,OK,同花顺期货通桌面自选
20260812,2026-08-12,AO,氧化铝,ao2609,2714,0.78,5744000000,105600,127000,-10753,-7.80,-134000000,OK,同花顺期货通桌面自选
20260812,2026-08-12,SH,烧碱,SH2609,1891,0.69,17732000000,311600,159200,-17193,-9.75,-156000000,OK,同花顺期货通桌面自选
