source_date,symbol,variety,spot_price,main_contract,main_price,basis,basis_pct,basis_convention,status,source,source_url
2026-06-25,A,豆一,4505.0,2609,4802.0,-297.0,-6.59,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-06-25.html
2026-06-26,A,豆一,4505.0,2609,4818.0,-313.0,-6.95,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-06-26.html
2026-06-29,A,豆一,4505.0,2609,4828.0,-323.0,-7.17,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-06-29.html
2026-06-30,A,豆一,4505.0,2609,4751.0,-246.0,-5.46,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-06-30.html
2026-07-01,A,豆一,4505.0,2609,4730.0,-225.0,-4.99,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-01.html
2026-07-02,A,豆一,4505.0,2609,4764.0,-259.0,-5.75,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-02.html
2026-07-03,A,豆一,4505.0,2609,4736.0,-231.0,-5.13,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-03.html
2026-07-06,A,豆一,4505.0,2609,4745.0,-240.0,-5.33,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-06.html
2026-07-07,A,豆一,4505.0,2609,4756.0,-251.0,-5.57,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-07.html
2026-07-08,A,豆一,4505.0,2609,4722.0,-217.0,-4.82,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-08.html
2026-07-09,A,豆一,4505.0,2609,4717.0,-212.0,-4.71,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-09.html
2026-07-10,A,豆一,4505.0,2609,4747.0,-242.0,-5.37,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-10.html
2026-07-13,A,豆一,4505.0,2609,4711.0,-206.0,-4.57,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-13.html
2026-07-14,A,豆一,4505.0,2609,4724.0,-219.0,-4.86,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-14.html
2026-07-15,A,豆一,4505.0,2609,4701.0,-196.0,-4.35,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-15.html
2026-07-16,A,豆一,4505.0,2609,4702.0,-197.0,-4.37,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-16.html
2026-07-17,A,豆一,4505.0,2609,4684.0,-179.0,-3.97,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-17.html
2026-07-20,A,豆一,4505.0,2609,4700.0,-195.0,-4.33,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-20.html
2026-07-21,A,豆一,4505.0,2609,4715.0,-210.0,-4.66,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-21.html
