symbol,contract,broker,long_pos,long_chg,short_pos,short_chg,net_pos,flow_score,add_long,reduce_long,add_short,reduce_short
NR,nr2611,摩根大通,6315,235,0,0,6315,235,235,0,0,0
NR,nr2611,高盛期货,5538,80,0,0,5538,80,80,0,0,0
NR,nr2611,国泰君安,4867,96,11787,172,-6920,-76,96,0,172,0
NR,nr2611,中信期货,4839,-4,6035,-430,-1196,426,0,4,0,430
NR,nr2611,东证期货,4068,16,3886,58,182,-42,16,0,58,0
NR,nr2611,永安期货,3968,-87,2332,-217,1636,130,0,87,0,217
NR,nr2611,中信建投,2637,350,0,0,2637,350,350,0,0,0
NR,nr2611,瑞银期货,2423,83,0,0,2423,83,83,0,0,0
NR,nr2611,中辉期货,2268,-15,0,0,2268,-15,0,15,0,0
NR,nr2611,财信期货,2121,-14,0,0,2121,-14,0,14,0,0
NR,nr2611,五矿期货,2038,2,3630,-131,-1592,133,2,0,0,131
NR,nr2611,华泰期货,1927,110,2595,144,-668,-34,110,0,144,0
NR,nr2611,一德期货,1868,24,0,0,1868,24,24,0,0,0
NR,nr2611,银河期货,1801,108,2299,261,-498,-153,108,0,261,0
NR,nr2611,新湖期货,1655,130,1119,-27,536,157,130,0,0,27
NR,nr2611,浙商期货,1489,18,2582,133,-1093,-115,18,0,133,0
NR,nr2611,广发期货,1376,-36,3252,145,-1876,-181,0,36,145,0
NR,nr2611,中金财富,1365,-1092,0,0,1365,-1092,0,1092,0,0
NR,nr2611,北金期货,1299,-125,0,0,1299,-125,0,125,0,0
NR,nr2611,大地期货,1162,-135,1635,-115,-473,-20,0,135,0,115
NR,nr2611,南华期货,0,0,3476,717,-3476,-717,0,0,717,0
NR,nr2611,中泰期货,0,0,2578,117,-2578,-117,0,0,117,0
NR,nr2611,国信期货,0,0,1952,-178,-1952,178,0,0,0,178
NR,nr2611,瑞达期货,0,0,1769,136,-1769,-136,0,0,136,0
NR,nr2611,国投安信,0,0,1718,122,-1718,-122,0,0,122,0
NR,nr2611,华闻期货,0,0,1675,-138,-1675,138,0,0,0,138
NR,nr2611,国贸期货,0,0,1499,83,-1499,-83,0,0,83,0
NR,nr2611,创元期货,0,0,1083,73,-1083,-73,0,0,73,0
NR,nr2611,物产中大,0,0,1078,28,-1078,-28,0,0,28,0
PP,pp2701,国泰君安,92916,8892,81488,3133,11428,5759,8892,0,3133,0
PP,pp2701,中信期货,75866,3592,58844,-541,17022,4133,3592,0,0,541
PP,pp2701,东证期货,58119,633,28799,221,29320,412,633,0,221,0
PP,pp2701,高盛期货,31828,-6995,0,0,31828,-6995,0,6995,0,0
PP,pp2701,中金财富,29288,-1826,0,0,29288,-1826,0,1826,0,0
PP,pp2701,永安期货,23690,1013,37536,1527,-13846,-514,1013,0,1527,0
PP,pp2701,华泰期货,23416,1489,34156,-748,-10740,2237,1489,0,0,748
PP,pp2701,银河期货,17945,-1271,18677,-497,-732,-774,0,1271,0,497
PP,pp2701,广发期货,13440,346,28623,-2090,-15183,2436,346,0,0,2090
PP,pp2701,瑞达期货,11767,1213,0,0,11767,1213,1213,0,0,0
PP,pp2701,浙商期货,9693,1345,16055,-188,-6362,1533,1345,0,0,188
PP,pp2701,中信建投,9487,147,10375,314,-888,-167,147,0,314,0
PP,pp2701,平安期货,8237,-611,0,0,8237,-611,0,611,0,0
PP,pp2701,摩根大通,7609,367,0,0,7609,367,367,0,0,0
PP,pp2701,海证期货,7081,-44,0,0,7081,-44,0,44,0,0
PP,pp2701,光大期货,6884,-552,0,0,6884,-552,0,552,0,0
PP,pp2701,国投安信,5920,4,12854,-1434,-6934,1438,4,0,0,1434
PP,pp2701,东吴期货,5903,76,10177,48,-4274,28,76,0,48,0
PP,pp2701,国联期货,5753,835,0,0,5753,835,835,0,0,0
PP,pp2701,招商期货,5672,341,0,0,5672,341,341,0,0,0
PP,pp2701,中粮期货,0,0,11354,838,-11354,-838,0,0,838,0
PP,pp2701,东海期货,0,0,11004,131,-11004,-131,0,0,131,0
PP,pp2701,南华期货,0,0,8276,216,-8276,-216,0,0,216,0
PP,pp2701,中原期货,0,0,8259,12,-8259,-12,0,0,12,0
PP,pp2701,东亚期货,0,0,8199,-3,-8199,3,0,0,0,3
PP,pp2701,中泰期货,0,0,7856,96,-7856,-96,0,0,96,0
PP,pp2701,紫金天风,0,0,6963,-103,-6963,103,0,0,0,103
PP,pp2701,申银万国,0,0,6719,205,-6719,-205,0,0,205,0
PP,pp2701,新湖期货,0,0,6665,8,-6665,-8,0,0,8,0
TA,ta2701,国泰君安,141311,12525,89922,-3287,51389,15812,12525,0,0,3287
TA,ta2701,东证期货,104830,6627,57893,-2813,46937,9440,6627,0,0,2813
TA,ta2701,中信期货,92504,13110,75233,11538,17271,1572,13110,0,11538,0
TA,ta2701,高盛期货,54994,10886,0,0,54994,10886,10886,0,0,0
TA,ta2701,摩根大通,44523,2240,0,0,44523,2240,2240,0,0,0
TA,ta2701,华泰期货,34312,2552,28436,1299,5876,1253,2552,0,1299,0
TA,ta2701,中粮期货,31767,4228,0,0,31767,4228,4228,0,0,0
TA,ta2701,银河期货,29491,2980,51344,3027,-21853,-47,2980,0,3027,0
TA,ta2701,瑞银期货,28714,1067,0,0,28714,1067,1067,0,0,0
TA,ta2701,中金财富,24453,1128,12050,-3816,12403,4944,1128,0,0,3816
TA,ta2701,广发期货,23661,-48,12950,938,10711,-986,0,48,938,0
TA,ta2701,国贸期货,14904,-283,36736,499,-21832,-782,0,283,499,0
TA,ta2701,招商期货,14827,-1249,0,0,14827,-1249,0,1249,0,0
TA,ta2701,方正中期,14459,302,0,0,14459,302,302,0,0,0
TA,ta2701,永安期货,14060,1120,50642,174,-36582,946,1120,0,174,0
TA,ta2701,申银万国,13033,163,0,0,13033,163,163,0,0,0
TA,ta2701,中信建投,11292,695,14069,-574,-2777,1269,695,0,0,574
TA,ta2701,建信期货,11101,344,16918,2574,-5817,-2230,344,0,2574,0
TA,ta2701,华闻期货,10682,2295,0,0,10682,2295,2295,0,0,0
TA,ta2701,海证期货,10180,-180,0,0,10180,-180,0,180,0,0
TA,ta2701,东吴期货,0,0,74377,20463,-74377,-20463,0,0,20463,0
TA,ta2701,中银国际,0,0,34489,1183,-34489,-1183,0,0,1183,0
TA,ta2701,光大期货,0,0,19754,7122,-19754,-7122,0,0,7122,0
TA,ta2701,恒力期货,0,0,18532,1338,-18532,-1338,0,0,1338,0
TA,ta2701,徽商期货,0,0,14255,795,-14255,-795,0,0,795,0
TA,ta2701,浙商期货,0,0,13484,22,-13484,-22,0,0,22,0
TA,ta2701,大越期货,0,0,12921,499,-12921,-499,0,0,499,0
TA,ta2701,南华期货,0,0,12817,-261,-12817,261,0,0,0,261
TA,ta2701,中泰期货,0,0,10604,1268,-10604,-1268,0,0,1268,0
V,v2701,中财期货,141282,-664,14464,3567,126818,-4231,0,664,3567,0
V,v2701,东证期货,69144,-549,36737,-42,32407,-507,0,549,0,42
V,v2701,国泰君安,57840,8826,132582,-936,-74742,9762,8826,0,0,936
V,v2701,中信期货,49788,-1336,83147,-15448,-33359,14112,0,1336,0,15448
V,v2701,恒力期货,48701,120,0,0,48701,120,120,0,0,0
V,v2701,华泰期货,43262,4377,54498,1645,-11236,2732,4377,0,1645,0
V,v2701,物产中大,34760,-1167,0,0,34760,-1167,0,1167,0,0
V,v2701,五矿期货,33549,-1490,0,0,33549,-1490,0,1490,0,0
V,v2701,信达期货,30864,-54,0,0,30864,-54,0,54,0,0
V,v2701,永安期货,29199,-3762,43085,2512,-13886,-6274,0,3762,2512,0
V,v2701,国投安信,20216,-1126,39695,-2612,-19479,1486,0,1126,0,2612
V,v2701,国联期货,17240,1384,0,0,17240,1384,1384,0,0,0
V,v2701,国信期货,16832,15,17333,-6072,-501,6087,15,0,0,6072
V,v2701,海通期货,16623,3071,13230,-6094,3393,9165,3071,0,0,6094
V,v2701,银河期货,16106,-1884,38812,-10039,-22706,8155,0,1884,0,10039
V,v2701,方正中期,16051,-4772,14625,-4515,1426,-257,0,4772,0,4515
V,v2701,申银万国,15864,-544,0,0,15864,-544,0,544,0,0
V,v2701,安粮期货,15556,-17,0,0,15556,-17,0,17,0,0
V,v2701,东吴期货,15369,226,0,0,15369,226,226,0,0,0
V,v2701,徽商期货,15283,-191,0,0,15283,-191,0,191,0,0
V,v2701,高盛期货,0,0,39921,-14262,-39921,14262,0,0,0,14262
V,v2701,中金财富,0,0,29935,-10527,-29935,10527,0,0,0,10527
V,v2701,瑞银期货,0,0,28049,-3986,-28049,3986,0,0,0,3986
V,v2701,中信建投,0,0,22212,196,-22212,-196,0,0,196,0
V,v2701,浙商期货,0,0,19703,2347,-19703,-2347,0,0,2347,0
V,v2701,上海中期,0,0,16041,-62,-16041,62,0,0,0,62
V,v2701,广发期货,0,0,14950,-3841,-14950,3841,0,0,0,3841
V,v2701,摩根大通,0,0,14055,556,-14055,-556,0,0,556,0
V,v2701,创元期货,0,0,13349,1103,-13349,-1103,0,0,1103,0
SS,ss2610,国泰君安,10718,-530,11278,4,-560,-534,0,530,4,0
SS,ss2610,中信期货,7598,-424,15641,-937,-8043,513,0,424,0,937
SS,ss2610,东证期货,6644,-1105,6977,-400,-333,-705,0,1105,0,400
SS,ss2610,华泰期货,5925,-1472,5097,80,828,-1552,0,1472,80,0
SS,ss2610,平安期货,4329,545,1818,-47,2511,592,545,0,0,47
SS,ss2610,国联期货,3935,27,1600,-429,2335,456,27,0,0,429
SS,ss2610,广发期货,3842,-80,3573,-440,269,360,0,80,0,440
SS,ss2610,国投安信,3747,-263,1793,73,1954,-336,0,263,73,0
SS,ss2610,中泰期货,3453,1387,1371,125,2082,1262,1387,0,125,0
SS,ss2610,物产中大,2976,21,0,0,2976,21,21,0,0,0
SS,ss2610,东方财富,2657,-279,0,0,2657,-279,0,279,0,0
SS,ss2610,永安期货,2406,-127,2138,26,268,-153,0,127,26,0
SS,ss2610,银河期货,2389,-444,4172,147,-1783,-591,0,444,147,0
SS,ss2610,中信建投,2217,63,0,0,2217,63,63,0,0,0
SS,ss2610,招商期货,2207,48,3582,303,-1375,-255,48,0,303,0
SS,ss2610,上海中期,2078,-227,0,0,2078,-227,0,227,0,0
SS,ss2610,东吴期货,1940,-90,0,0,1940,-90,0,90,0,0
SS,ss2610,南华期货,1931,32,0,0,1931,32,32,0,0,0
SS,ss2610,海通期货,1868,-164,1584,64,284,-228,0,164,64,0
SS,ss2610,中粮期货,1613,25,0,0,1613,25,25,0,0,0
SS,ss2610,中金财富,0,0,3299,-1128,-3299,1128,0,0,0,1128
SS,ss2610,建信期货,0,0,2511,-43,-2511,43,0,0,0,43
SS,ss2610,瑞达期货,0,0,2323,551,-2323,-551,0,0,551,0
SS,ss2610,华闻期货,0,0,1710,68,-1710,-68,0,0,68,0
