report_date,source_date,symbol,variety,contract,close,change_pct,return_10d,return_20d,return_30d,monthly_return,turnover,volume,open_interest,open_interest_change,open_interest_change_pct,capital_flow,status,source
20260831,2026-08-31,PG,液化气,pg2610,6169,6.97,13.17,15.57,6.64,13.59,,,111200,7007,6.72,378000000,OK,同花顺期货通截图
20260831,2026-08-31,JM,焦煤,jm2701,1729.0,6.53,13.60,30.10,16.98,31.53,,,636500,38925,6.51,1830000000,OK,同花顺期货通截图
20260831,2026-08-31,MA,甲醇,MA2610,2983,6.01,9.07,15.71,7.26,14.29,,,712900,-26812,-3.62,36110700,OK,同花顺期货通截图
20260831,2026-08-31,PR,瓶片,PR2611,7596,6.00,4.08,7.35,6.42,7.14,,,57700,6896,13.58,151000000,OK,同花顺期货通截图
20260831,2026-08-31,V,PVC,v2701,4791,6.00,1.29,4.27,-1.22,3.72,,,1109200,-105541,-8.69,-173000000,OK,同花顺期货通截图
20260831,2026-08-31,EG,乙二醇,eg2610,5331,5.98,9.00,13.02,13.55,11.57,,,342900,-6526,-1.87,87283400,OK,同花顺期货通截图
20260831,2026-08-31,L,塑料,l2701,8098,5.73,5.76,11.94,7.00,10.48,,,436100,23077,5.59,240000000,OK,同花顺期货通截图
20260831,2026-08-31,BZ,纯苯,bz2610,7962,5.71,7.70,13.78,5.28,13.18,,,28700,689,2.46,72272600,OK,同花顺期货通截图
20260831,2026-08-31,EB,苯乙烯,eb2610,9120,5.57,6.73,11.17,3.23,10.63,,,330300,23758,7.75,255000000,OK,同花顺期货通截图
20260831,2026-08-31,BU,沥青,bu2610,4850,5.53,14.60,22.63,18.09,21.98,,,247400,-18801,-7.06,-917087000,OK,同花顺期货通截图
20260831,2026-08-31,PP,聚丙烯,pp2701,8366,5.44,7.08,11.89,6.49,10.14,,,599200,33364,5.90,345000000,OK,同花顺期货通截图
20260831,2026-08-31,PX,对二甲苯,PX2611,8442,5.03,2.15,5.42,2.28,5.39,,,159400,6028,3.93,719187000,OK,同花顺期货通截图
20260831,2026-08-31,LU,低硫燃油,lu2610,5038,4.85,5.02,14.66,9.50,13.21,,,56400,-2986,-5.03,37169000,OK,同花顺期货通截图
20260831,2026-08-31,FU,燃料油,fu2611,3845,4.77,6.69,17.62,6.36,13.36,,,225600,-1797,-0.79,129000000,OK,同花顺期货通截图
20260831,2026-08-31,TA,PTA,TA2701,5836,4.29,1.21,5.04,2.67,4.93,,,940200,72028,8.30,419000000,OK,同花顺期货通截图
20260831,2026-08-31,J,焦炭,j2701,2241.5,4.28,11.85,24.49,15.90,23.98,,,70100,5748,8.93,445000000,OK,同花顺期货通截图
20260831,2026-08-31,BR,合成橡胶,br2610,15000,4.24,6.23,19.47,9.25,19.33,,,57200,-4183,-6.82,-370135000,OK,同花顺期货通截图
20260831,2026-08-31,PF,短纤,PF2610,7778,4.12,2.75,5.25,4.18,4.85,,,131600,-4885,-3.58,-4104000,OK,同花顺期货通截图
20260831,2026-08-31,SA,纯碱,SA2701,1061,3.31,2.91,6.85,-2.12,5.36,,,1172800,18407,1.59,114000000,OK,同花顺期货通截图
20260831,2026-08-31,LC,碳酸锂,lc2701,161000,3.21,4.89,16.89,16.85,17.79,,,403000,11148,2.84,703000000,OK,同花顺期货通截图
20260831,2026-08-31,FG,玻璃,FG2701,941,2.51,1.95,-1.67,-4.47,-1.47,,,1394600,-109812,-7.30,-296000000,OK,同花顺期货通截图
20260831,2026-08-31,AO,氧化铝,ao2610,2687,2.21,-0.37,1.86,-1.72,2.21,,,154200,-74424,-32.56,-841000000,OK,同花顺期货通截图
20260831,2026-08-31,P,棕榈油,p2701,10283,1.92,4.52,7.77,6.34,7.48,,,605500,26076,4.50,533000000,OK,同花顺期货通截图
