source_date,symbol,variety,close,change_pct,status,source,source_url
2026-07-20,IF,沪深300,4598.32,1.53,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-21,IF,沪深300,4739.23,3.06,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-22,IF,沪深300,4717.24,-0.46,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-23,IF,沪深300,4728.0,0.23,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-24,IF,沪深300,4649.19,-1.67,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-27,IF,沪深300,4702.43,1.15,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-28,IF,沪深300,4569.52,-2.83,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-29,IF,沪深300,4600.26,0.67,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-30,IF,沪深300,4549.72,-1.1,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-31,IF,沪深300,4588.2,0.85,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-03,IF,沪深300,4543.18,-0.98,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-04,IF,沪深300,4600.93,1.27,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-05,IF,沪深300,4658.15,1.24,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-06,IF,沪深300,4651.31,-0.15,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-07,IF,沪深300,4694.44,0.93,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-10,IF,沪深300,4702.02,0.16,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-11,IF,沪深300,4663.79,-0.81,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-12,IF,沪深300,4690.92,0.58,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-13,IF,沪深300,4663.95,-0.57,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-14,IF,沪深300,4665.88,0.04,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-17,IF,沪深300,4741.1,1.61,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-18,IF,沪深300,4725.81,-0.32,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-19,IF,沪深300,4588.7,-2.9,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-20,IF,沪深300,4592.75,0.09,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-21,IF,沪深300,4618.9,0.57,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-24,IF,沪深300,4563.13,-1.21,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-25,IF,沪深300,4552.03,-0.24,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-26,IF,沪深300,4590.79,0.85,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-27,IF,沪深300,4630.28,0.86,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-08-28,IF,沪深300,4609.18,-0.46,OK,东方财富指数日线,https://quote.eastmoney.com/
