date,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount
2025-09-15,71520.0,72940.0,73500.0,71500.0,246.0,0.0,0.0,0.0,0.0
2025-09-16,73920.0,73680.0,75200.0,73220.0,226.0,0.0,0.0,1.0145324924595558,740.0
2025-09-17,73560.0,74080.0,74340.0,73420.0,111.0,0.0,0.0,0.5428881650380022,400.0
2025-09-18,75060.0,73000.0,75060.0,72180.0,359.0,0.0,0.0,-1.4578833693304536,-1080.0
2025-09-19,73320.0,73940.0,74200.0,73300.0,109.0,0.0,0.0,1.2876712328767124,940.0
2025-09-22,74120.0,73900.0,74940.0,73440.0,620.0,0.0,0.0,-0.054097917230186636,-40.0
2025-09-23,73680.0,73500.0,74360.0,72620.0,414.0,0.0,0.0,-0.5412719891745602,-400.0
2025-09-24,73460.0,72980.0,73900.0,72940.0,309.0,0.0,0.0,-0.7074829931972789,-520.0
2025-09-25,74000.0,73760.0,74200.0,72660.0,259.0,0.0,0.0,1.0687859687585641,780.0
2025-09-26,73780.0,72920.0,74160.0,72240.0,288.0,0.0,0.0,-1.13882863340564,-840.0
2025-09-29,73000.0,73580.0,74160.0,72440.0,408.0,0.0,0.0,0.9051014810751509,660.0
2025-09-30,73520.0,72980.0,73580.0,72880.0,356.0,0.0,0.0,-0.8154389779831475,-600.0
2025-10-09,73640.0,73660.0,74800.0,72900.0,662.0,0.0,0.0,0.9317621266100301,680.0
2025-10-10,73540.0,73620.0,74340.0,73200.0,745.0,0.0,0.0,-0.054303556882975834,-40.0
2025-10-13,73020.0,73280.0,73600.0,72620.0,765.0,0.0,0.0,-0.4618310241782124,-340.0
2025-10-14,73780.0,73560.0,74680.0,73400.0,686.0,0.0,0.0,0.38209606986899564,280.0
2025-10-15,73960.0,73780.0,74360.0,73700.0,805.0,0.0,0.0,0.29907558455682437,220.0
2025-10-16,73820.0,75000.0,75000.0,73820.0,1065.0,0.0,0.0,1.6535646516671185,1220.0
2025-10-17,75000.0,76400.0,76880.0,75000.0,1533.0,0.0,0.0,1.866666666666667,1400.0
2025-10-20,76380.0,76080.0,76660.0,75000.0,1116.0,0.0,0.0,-0.41884816753926707,-320.0
2025-10-21,76000.0,76080.0,76460.0,75600.0,965.0,0.0,0.0,0.0,0.0
2025-10-22,76080.0,77220.0,77460.0,76060.0,1472.0,0.0,0.0,1.498422712933754,1140.0
2025-10-23,77480.0,79300.0,79300.0,77340.0,2645.0,0.0,0.0,2.6936026936026933,2080.0
2025-10-24,80000.0,79500.0,80560.0,78640.0,2613.0,0.0,0.0,0.25220680958385877,200.0
2025-10-27,80560.0,81920.0,82000.0,79480.0,3407.0,0.0,0.0,3.0440251572327046,2420.0
2025-10-28,81660.0,81380.0,83340.0,81040.0,3771.0,0.0,0.0,-0.6591796875,-540.0
2025-10-29,81920.0,82860.0,83060.0,81000.0,3350.0,0.0,0.0,1.8186286556893587,1480.0
2025-10-30,83000.0,83200.0,84860.0,82400.0,5353.0,0.0,0.0,0.41033067825247405,340.0
2025-10-31,83600.0,80860.0,84600.0,80540.0,5444.0,0.0,0.0,-2.8125,-2340.0
2025-11-03,81280.0,82740.0,83260.0,81280.0,5627.0,0.0,0.0,2.325006183527084,1880.0
2025-11-04,82900.0,79660.0,83140.0,78320.0,5942.0,0.0,0.0,-3.7225042301184432,-3080.0
2025-11-05,79880.0,79480.0,80600.0,79080.0,9151.0,0.0,0.0,-0.22596033140848606,-180.0
2025-11-06,79820.0,80560.0,81040.0,79260.0,6398.0,0.0,0.0,1.3588324106693508,1080.0
2025-11-07,81580.0,82840.0,82980.0,79500.0,7709.0,0.0,0.0,2.8301886792452833,2280.0
2025-11-10,83000.0,87360.0,87380.0,83000.0,9524.0,0.0,0.0,5.456301303718011,4520.0
2025-11-11,87480.0,86920.0,88540.0,85840.0,5115.0,0.0,0.0,-0.5036630036630036,-440.0
2025-11-12,87180.0,87180.0,88400.0,85820.0,7380.0,0.0,0.0,0.2991256327657616,260.0
2025-11-13,86920.0,88380.0,89980.0,86920.0,10351.0,0.0,0.0,1.3764624913971095,1200.0
2025-11-14,88200.0,88180.0,89100.0,87140.0,6271.0,0.0,0.0,-0.22629554197782306,-200.0
2025-11-17,88500.0,95980.0,95980.0,88500.0,16566.0,0.0,0.0,8.845543207076433,7800.0
2025-11-18,96000.0,94300.0,97440.0,93540.0,17015.0,0.0,0.0,-1.7503646593040216,-1680.0
2025-11-19,94420.0,100500.0,100860.0,94280.0,21487.0,0.0,0.0,6.574761399787911,6200.0
2025-11-20,100500.0,99980.0,103500.0,98960.0,21990.0,0.0,0.0,-0.5174129353233831,-520.0
2025-11-21,99280.0,92020.0,99280.0,92020.0,34514.0,0.0,0.0,-7.961592318463692,-7960.0
2025-11-24,92000.0,92280.0,94200.0,91440.0,17857.0,0.0,0.0,0.2825472723321017,260.0
2025-11-25,92380.0,97780.0,97820.0,92380.0,27531.0,0.0,0.0,5.9601213697442565,5500.0
2025-11-26,99000.0,96980.0,100500.0,96040.0,30792.0,0.0,0.0,-0.8181632235631009,-800.0
2025-11-27,97120.0,96300.0,98960.0,96160.0,27379.0,0.0,0.0,-0.701175500103114,-680.0
2025-11-28,96120.0,96400.0,97900.0,94860.0,24121.0,0.0,0.0,0.10384215991692627,100.0
2025-12-01,96560.0,97060.0,98400.0,96120.0,22625.0,0.0,0.0,0.6846473029045643,660.0
2025-12-02,97220.0,96440.0,97420.0,95360.0,17881.0,0.0,0.0,-0.6387801359983516,-620.0
2025-12-03,96460.0,93500.0,97300.0,92540.0,28171.0,0.0,0.0,-3.0485275819162174,-2940.0
2025-12-04,93720.0,93660.0,94580.0,91660.0,24400.0,0.0,0.0,0.1711229946524064,160.0
2025-12-05,93540.0,92240.0,93820.0,92120.0,17000.0,0.0,0.0,-1.5161221439248345,-1420.0
2025-12-08,92100.0,94960.0,95520.0,91440.0,26442.0,0.0,0.0,2.9488291413703385,2720.0
2025-12-09,94780.0,93040.0,94900.0,92520.0,21531.0,0.0,0.0,-2.0219039595619206,-1920.0
2025-12-10,93360.0,96180.0,96880.0,93240.0,27715.0,0.0,0.0,3.3748925193465173,3140.0
2025-12-11,96260.0,99160.0,99600.0,95780.0,28403.0,0.0,0.0,3.0983572468288623,2980.0
2025-12-12,100200.0,98280.0,101900.0,98180.0,34428.0,0.0,0.0,-0.8874546187979023,-880.0
2025-12-15,98680.0,101580.0,101720.0,98000.0,32909.0,0.0,0.0,3.357753357753358,3300.0
2025-12-16,101600.0,101240.0,102580.0,100500.0,32145.0,0.0,0.0,-0.33471155739318764,-340.0
2025-12-17,101540.0,109480.0,110360.0,101540.0,71257.0,0.0,0.0,8.139075464243382,8240.0
2025-12-18,109800.0,107680.0,111140.0,106480.0,58651.0,0.0,0.0,-1.6441359152356596,-1800.0
2025-12-19,107500.0,112680.0,114980.0,107500.0,61023.0,0.0,0.0,4.643387815750372,5000.0
2025-12-22,112000.0,116080.0,118120.0,111000.0,81294.0,0.0,0.0,3.017394391196308,3400.0
2025-12-23,116080.0,121840.0,122020.0,115780.0,64410.0,0.0,0.0,4.962095106822881,5760.0
2025-12-24,123480.0,126520.0,129660.0,120040.0,90448.0,0.0,0.0,3.8411030860144453,4680.0
2025-12-25,119980.0,125880.0,126900.0,118640.0,158008.0,0.0,0.0,-0.5058488776478027,-640.0
2025-12-26,129620.0,132740.0,133880.0,127000.0,90019.0,0.0,0.0,5.449634572608834,6860.0
2025-12-29,130000.0,121500.0,137200.0,119880.0,140534.0,0.0,0.0,-8.467681181256593,-11240.0
2025-12-30,118000.0,123500.0,125840.0,118000.0,98333.0,0.0,0.0,1.646090534979424,2000.0
2025-12-31,125100.0,123960.0,126200.0,119600.0,90477.0,0.0,0.0,0.3724696356275303,460.0
2026-01-05,126360.0,131940.0,132400.0,125160.0,64097.0,0.0,0.0,6.43756050338819,7980.0
2026-01-06,133860.0,140020.0,140020.0,133860.0,55609.0,0.0,0.0,6.123995755646506,8080.0
2026-01-07,144180.0,144380.0,149000.0,140300.0,89562.0,0.0,0.0,3.113840879874304,4360.0
2026-01-08,143900.0,146940.0,150760.0,139120.0,136880.0,0.0,0.0,1.7730987671422636,2560.0
2026-01-09,147000.0,145380.0,149000.0,141500.0,106413.0,0.0,0.0,-1.0616578195181707,-1560.0
2026-01-12,153000.0,158420.0,158420.0,153000.0,14827.0,0.0,0.0,8.96959691842069,13040.0
2026-01-13,168000.0,169200.0,176120.0,163720.0,149972.0,0.0,0.0,6.804696376720111,10780.0
2026-01-14,168800.0,164000.0,175220.0,156700.0,136958.0,0.0,0.0,-3.0732860520094563,-5200.0
2026-01-15,166500.0,164880.0,166900.0,157160.0,60220.0,0.0,0.0,0.5365853658536586,880.0
2026-01-16,165000.0,147740.0,167500.0,147740.0,80218.0,0.0,0.0,-10.3954391072295,-17140.0
2026-01-19,150720.0,149300.0,152800.0,143820.0,37706.0,0.0,0.0,1.0559090293759308,1560.0
2026-01-20,152600.0,161900.0,162560.0,151140.0,55997.0,0.0,0.0,8.439383791024783,12600.0
2026-01-21,162640.0,168320.0,170600.0,160000.0,36947.0,0.0,0.0,3.9654107473749227,6420.0
2026-01-22,168260.0,170120.0,175520.0,165660.0,43587.0,0.0,0.0,1.0693916349809884,1800.0
2026-01-23,173200.0,183380.0,183780.0,173200.0,34310.0,0.0,0.0,7.794498001410768,13260.0
2026-01-26,187000.0,167000.0,190600.0,165000.0,78496.0,0.0,0.0,-8.932271785363726,-16380.0
2026-01-27,168000.0,180080.0,180800.0,166140.0,39015.0,0.0,0.0,7.8323353293413165,13080.0
2026-01-28,182000.0,166800.0,182880.0,165020.0,52216.0,0.0,0.0,-7.3745002221235,-13280.0
2026-01-29,168000.0,166240.0,174200.0,159400.0,46419.0,0.0,0.0,-0.3357314148681055,-560.0
2026-01-30,164400.0,148560.0,165660.0,148560.0,66376.0,0.0,0.0,-10.635226179018286,-17680.0
2026-02-02,148040.0,132500.0,153200.0,132500.0,80221.0,0.0,0.0,-10.810446957458266,-16060.0
2026-02-03,140000.0,147500.0,152000.0,137000.0,54283.0,0.0,0.0,11.320754716981133,15000.0
2026-02-04,149200.0,147200.0,152600.0,145720.0,26986.0,0.0,0.0,-0.2033898305084746,-300.0
2026-02-05,145000.0,132800.0,147000.0,132360.0,58992.0,0.0,0.0,-9.782608695652174,-14400.0
2026-02-06,129780.0,133500.0,139000.0,124480.0,59038.0,0.0,0.0,0.5271084337349398,700.0
2026-02-09,135500.0,137400.0,139900.0,135100.0,31183.0,0.0,0.0,2.9213483146067416,3900.0
2026-02-10,136220.0,137560.0,141220.0,133500.0,19587.0,0.0,0.0,0.11644832605531297,160.0
2026-02-11,137880.0,150600.0,150720.0,137880.0,24377.0,0.0,0.0,9.479499854608898,13040.0
2026-02-12,149200.0,149380.0,152720.0,147000.0,24866.0,0.0,0.0,-0.8100929614873837,-1220.0
2026-02-13,143000.0,153500.0,153700.0,142560.0,24983.0,0.0,0.0,2.7580666755924486,4120.0
2026-02-24,158340.0,165920.0,166800.0,158340.0,24745.0,0.0,0.0,8.091205211726384,12420.0
2026-02-25,165620.0,167200.0,172320.0,165040.0,30098.0,0.0,0.0,0.7714561234329798,1280.0
2026-02-26,186000.0,175080.0,186900.0,172000.0,42223.0,0.0,0.0,4.712918660287081,7880.0
2026-02-27,175220.0,177200.0,177600.0,169160.0,33005.0,0.0,0.0,1.2108750285583734,2120.0
2026-03-02,180000.0,172780.0,180060.0,170620.0,28041.0,0.0,0.0,-2.494356659142212,-4420.0
2026-03-03,170800.0,151780.0,171340.0,151780.0,49152.0,0.0,0.0,-12.154184512096307,-21000.0
2026-03-04,151000.0,153740.0,156000.0,146040.0,40630.0,0.0,0.0,1.2913427329028857,1960.0
2026-03-05,155020.0,156300.0,161600.0,149660.0,36312.0,0.0,0.0,1.6651489527774164,2560.0
2026-03-06,155520.0,156700.0,160820.0,151600.0,20219.0,0.0,0.0,0.2559181062060141,400.0
2026-03-09,149000.0,161500.0,165600.0,142600.0,44267.0,0.0,0.0,3.063178047223995,4800.0
2026-03-10,162000.0,163000.0,166980.0,160020.0,26369.0,0.0,0.0,0.9287925696594427,1500.0
2026-03-11,163000.0,155280.0,167400.0,155200.0,33105.0,0.0,0.0,-4.736196319018405,-7720.0
2026-03-12,156000.0,157100.0,159700.0,153100.0,26300.0,0.0,0.0,1.172076249356002,1820.0
2026-03-13,155000.0,152100.0,162960.0,150000.0,32941.0,0.0,0.0,-3.1826861871419476,-5000.0
2026-03-16,150880.0,159560.0,160000.0,149160.0,37937.0,0.0,0.0,4.904667981591058,7460.0
2026-03-17,159700.0,155260.0,160800.0,154000.0,30500.0,0.0,0.0,-2.694911005264477,-4300.0
2026-03-18,154400.0,150020.0,156600.0,149560.0,35711.0,0.0,0.0,-3.3749838979775864,-5240.0
2026-03-19,147840.0,142500.0,150000.0,140000.0,57687.0,0.0,0.0,-5.012664978002933,-7520.0
2026-03-20,145500.0,143520.0,150800.0,143300.0,43475.0,0.0,0.0,0.7157894736842105,1020.0
2026-03-23,141220.0,149040.0,149300.0,140020.0,45188.0,0.0,0.0,3.8461538461538463,5520.0
2026-03-24,151700.0,152900.0,154660.0,150220.0,45326.0,0.0,0.0,2.589908749329039,3860.0
2026-03-25,156000.0,158960.0,161500.0,154500.0,61200.0,0.0,0.0,3.963374754741661,6060.0
2026-03-26,158980.0,158040.0,162860.0,155600.0,69369.0,0.0,0.0,-0.5787619526925012,-920.0
2026-03-27,157660.0,169400.0,172220.0,157000.0,108795.0,0.0,0.0,7.188053657301949,11360.0
2026-03-30,170000.0,172860.0,175000.0,169040.0,75204.0,0.0,0.0,2.0425029515938604,3460.0
2026-03-31,170800.0,158040.0,173380.0,157700.0,135391.0,0.0,0.0,-8.573412009718847,-14820.0
2026-04-01,161000.0,159060.0,164500.0,154560.0,101640.0,0.0,0.0,0.64540622627183,1020.0
2026-04-02,159800.0,160180.0,163800.0,156000.0,90671.0,0.0,0.0,0.7041368037218659,1120.0
2026-04-03,161000.0,157860.0,163120.0,157220.0,66813.0,0.0,0.0,-1.4483705830940192,-2320.0
2026-04-07,158440.0,160860.0,165500.0,156500.0,99493.0,0.0,0.0,1.9004180919802356,3000.0
2026-04-08,160000.0,159620.0,164700.0,157000.0,122220.0,0.0,0.0,-0.7708566455302748,-1240.0
2026-04-09,159000.0,153560.0,159740.0,152500.0,155903.0,0.0,0.0,-3.7965167272271643,-6060.0
2026-04-10,156300.0,157600.0,158900.0,153800.0,141334.0,0.0,0.0,2.6308934618390207,4040.0
2026-04-13,155020.0,166500.0,166600.0,154780.0,192774.0,0.0,0.0,5.647208121827411,8900.0
2026-04-14,167000.0,166840.0,168400.0,164100.0,166865.0,0.0,0.0,0.2042042042042042,340.0
2026-04-15,168400.0,168660.0,171980.0,165020.0,215162.0,0.0,0.0,1.0908654998801246,1820.0
2026-04-16,170500.0,176000.0,176200.0,169200.0,251427.0,0.0,0.0,4.351950669986956,7340.0
2026-04-17,177460.0,177560.0,178000.0,173680.0,201622.0,0.0,0.0,0.8863636363636364,1560.0
2026-04-20,177000.0,180200.0,181440.0,174800.0,208657.0,0.0,0.0,1.4868213561612977,2640.0
2026-04-21,180900.0,174260.0,180900.0,169500.0,323093.0,0.0,0.0,-3.2963374028856824,-5940.0
2026-04-22,173660.0,175240.0,176500.0,172020.0,190015.0,0.0,0.0,0.5623780557787215,980.0
2026-04-23,175740.0,177960.0,178900.0,172140.0,236073.0,0.0,0.0,1.552157041771285,2720.0
2026-04-24,178000.0,177900.0,179980.0,174500.0,246726.0,0.0,0.0,-0.033715441672285906,-60.0
2026-04-27,182000.0,180560.0,184800.0,178500.0,238899.0,0.0,0.0,1.4952220348510399,2660.0
2026-04-28,179000.0,178620.0,180500.0,173400.0,263957.0,0.0,0.0,-1.0744350908285334,-1940.0
2026-04-29,178700.0,183880.0,184440.0,175260.0,238422.0,0.0,0.0,2.94479901466801,5260.0
2026-04-30,184000.0,189080.0,189500.0,182460.0,264129.0,0.0,0.0,2.8279312595170762,5200.0
2026-05-06,191500.0,199400.0,199560.0,191040.0,222232.0,0.0,0.0,5.458007192722658,10320.0
2026-05-07,199000.0,199060.0,200440.0,193400.0,274376.0,0.0,0.0,-0.17051153460381144,-340.0
2026-05-08,197120.0,196560.0,201480.0,195100.0,249199.0,0.0,0.0,-1.2559027428915905,-2500.0
2026-05-11,196560.0,205020.0,205600.0,195200.0,236895.0,0.0,0.0,4.304029304029304,8460.0
2026-05-12,208000.0,205260.0,208800.0,203300.0,194979.0,0.0,0.0,0.11706175007316359,240.0
2026-05-13,206520.0,201960.0,209880.0,195000.0,425885.0,0.0,0.0,-1.607717041800643,-3300.0
2026-05-14,203000.0,191760.0,204400.0,190080.0,460646.0,0.0,0.0,-5.05050505050505,-10200.0
2026-05-15,190000.0,188800.0,194900.0,186800.0,391747.0,0.0,0.0,-1.543596161869003,-2960.0
2026-05-18,189000.0,192180.0,193900.0,187600.0,208152.0,0.0,0.0,1.7902542372881354,3380.0
2026-05-19,190980.0,184400.0,192120.0,182060.0,344515.0,0.0,0.0,-4.048288063274014,-7780.0
2026-05-20,182120.0,183100.0,184800.0,175200.0,411021.0,0.0,0.0,-0.7049891540130151,-1300.0
2026-05-21,184100.0,177600.0,186200.0,177160.0,341878.0,0.0,0.0,-3.003823047515019,-5500.0
2026-05-22,178720.0,184460.0,185300.0,176500.0,292399.0,0.0,0.0,3.8626126126126126,6860.0
2026-05-25,185500.0,181200.0,187900.0,179300.0,248810.0,0.0,0.0,-1.767320828363873,-3260.0
2026-05-26,182000.0,175960.0,182720.0,175260.0,245595.0,0.0,0.0,-2.891832229580574,-5240.0
2026-05-27,175000.0,173000.0,178920.0,172080.0,241623.0,0.0,0.0,-1.6822005001136624,-2960.0
2026-05-28,175000.0,178860.0,180880.0,174000.0,260794.0,0.0,0.0,3.3872832369942194,5860.0
2026-05-29,180000.0,179740.0,182500.0,177760.0,172932.0,0.0,0.0,0.4920049200492005,880.0
2026-06-01,181000.0,178900.0,182100.0,178000.0,146724.0,0.0,0.0,-0.46734171581172806,-840.0
2026-06-02,179000.0,172980.0,179220.0,171100.0,214856.0,0.0,0.0,-3.309111235326998,-5920.0
2026-06-03,173100.0,166760.0,173100.0,166100.0,251082.0,0.0,0.0,-3.595791420973523,-6220.0
2026-06-04,165660.0,160740.0,167580.0,157560.0,281867.0,0.0,0.0,-3.6099784120892298,-6020.0
2026-06-05,160040.0,164360.0,165580.0,157180.0,276081.0,0.0,0.0,2.2520841109866865,3620.0
2026-06-08,161500.0,163340.0,165800.0,160260.0,187221.0,0.0,0.0,-0.6205889510829885,-1020.0
2026-06-09,163600.0,168460.0,169000.0,161600.0,238433.0,0.0,0.0,3.1345659360842415,5120.0
2026-06-10,167980.0,167400.0,169300.0,164800.0,206477.0,0.0,0.0,-0.6292294906802801,-1060.0
2026-06-11,166780.0,174600.0,174960.0,166500.0,244951.0,0.0,0.0,4.301075268817205,7200.0
2026-06-12,176000.0,175300.0,178740.0,174600.0,196809.0,0.0,0.0,0.40091638029782356,700.0
2026-06-15,177600.0,174440.0,177920.0,172320.0,177039.0,0.0,0.0,-0.4905875641756988,-860.0
2026-06-16,173800.0,169980.0,174200.0,168420.0,187954.0,0.0,0.0,-2.5567530382939694,-4460.0
2026-06-17,170100.0,171300.0,173600.0,169000.0,150191.0,0.0,0.0,0.7765619484645252,1320.0
2026-06-18,172020.0,160500.0,172500.0,160100.0,342652.0,0.0,0.0,-6.304728546409807,-10800.0
2026-06-22,157220.0,161740.0,161800.0,150860.0,328573.0,0.0,0.0,0.7725856697819315,1240.0
2026-06-23,158000.0,157220.0,159460.0,153700.0,258508.0,0.0,0.0,-2.7946086311363914,-4520.0
2026-06-24,156000.0,162740.0,163940.0,154600.0,233010.0,0.0,0.0,3.511003689098079,5520.0
2026-06-25,160000.0,150840.0,161200.0,150320.0,320656.0,0.0,0.0,-7.312277252058498,-11900.0
2026-06-26,149000.0,150220.0,152880.0,145000.0,321674.0,0.0,0.0,-0.4110315566162821,-620.0
2026-06-29,148000.0,153920.0,154700.0,145300.0,301474.0,0.0,0.0,2.4630541871921183,3700.0
2026-06-30,148020.0,163360.0,163900.0,148020.0,373078.0,0.0,0.0,6.133056133056133,9440.0
2026-07-01,164000.0,164560.0,166500.0,161500.0,278547.0,0.0,0.0,0.7345739471106758,1200.0
2026-07-02,163500.0,164040.0,167800.0,162220.0,248836.0,0.0,0.0,-0.3159941662615459,-520.0
2026-07-03,170600.0,168780.0,172000.0,166300.0,211420.0,0.0,0.0,2.8895391367959036,4740.0
2026-07-06,166980.0,164560.0,168720.0,163280.0,174787.0,0.0,0.0,-2.500296243630762,-4220.0
2026-07-07,165000.0,163360.0,166380.0,160660.0,173063.0,0.0,0.0,-0.7292173067574137,-1200.0
2026-07-08,164220.0,158440.0,165200.0,158400.0,199757.0,0.0,0.0,-3.011753183153771,-4920.0
2026-07-09,159600.0,153020.0,159940.0,151020.0,282269.0,0.0,0.0,-3.4208533198687197,-5420.0
2026-07-10,153000.0,151600.0,153920.0,150260.0,184064.0,0.0,0.0,-0.9279832701607633,-1420.0
2026-07-13,150500.0,152240.0,153580.0,147840.0,182995.0,0.0,0.0,0.4221635883905013,640.0
2026-07-14,152000.0,153180.0,154000.0,150720.0,147468.0,0.0,0.0,0.6174461376773516,940.0
2026-07-15,153880.0,149240.0,156500.0,147540.0,247128.0,0.0,0.0,-2.5721373547460504,-3940.0
2026-07-16,148980.0,151660.0,153340.0,145860.0,291773.0,0.0,0.0,1.6215491825247925,2420.0
2026-07-17,153100.0,150140.0,155300.0,149000.0,222081.0,0.0,0.0,-1.0022418567849136,-1520.0
2026-07-20,151500.0,143900.0,154800.0,141400.0,295098.0,0.0,0.0,-4.156120953776475,-6240.0
2026-07-21,143800.0,141620.0,144300.0,136800.0,270848.0,0.0,0.0,-1.584433634468381,-2280.0
2026-07-22,142980.0,143300.0,145200.0,137220.0,282781.0,0.0,0.0,1.1862731252647931,1680.0
2026-07-23,143380.0,145000.0,148480.0,142240.0,259198.0,0.0,0.0,1.1863224005582695,1700.0
2026-07-24,144200.0,144280.0,145800.0,141320.0,171069.0,0.0,0.0,-0.4965517241379311,-720.0
2026-07-27,145780.0,147220.0,148220.0,143260.0,169766.0,0.0,0.0,2.0377044635431107,2940.0
2026-07-28,146560.0,143480.0,147680.0,142000.0,217777.0,0.0,0.0,-2.5404157043879905,-3740.0
2026-07-29,143480.0,147900.0,149400.0,142500.0,205654.0,0.0,0.0,3.080568720379147,4420.0
2026-07-30,147980.0,141060.0,148080.0,140620.0,197757.0,0.0,0.0,-4.62474645030426,-6840.0
2026-07-31,143880.0,137760.0,144400.0,137760.0,182183.0,0.0,0.0,-2.3394300297745643,-3300.0
2026-08-03,137500.0,138900.0,140840.0,135560.0,185279.0,0.0,0.0,0.8275261324041812,1140.0
2026-08-04,0.0,139380.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0
