report_date,source_date,symbol,variety,contract,close,change_pct,return_10d,return_20d,return_30d,monthly_return,turnover,volume,open_interest,open_interest_change,open_interest_change_pct,capital_flow,status,source
20260824,2026-08-24,EG,乙二醇,eg2610,5404,4.75,18.93,16.29,25.76,13.10,,,,70384,25.78,610000000,OK,同花顺期货通截图
20260824,2026-08-24,J,焦炭,j2701,2152.5,2.92,12.64,11.47,11.13,19.05,,,,8483,14.38,485000000,OK,同花顺期货通截图
20260824,2026-08-24,AU,沪金,au2610,1006.82,2.86,6.18,12.40,13.38,13.34,,,,-1664,-0.79,770000000,OK,同花顺期货通截图
20260824,2026-08-24,SA,纯碱,SA2701,1054,2.23,1.54,-1.31,-6.89,4.67,,,,34263,3.28,166000000,OK,同花顺期货通截图
20260824,2026-08-24,SH,烧碱,SH2611,1952,2.15,3.61,2.52,-2.55,4.66,,,,-10243,-4.23,-58755100,OK,同花顺期货通截图
20260824,2026-08-24,FG,玻璃,FG2701,922,1.77,-5.05,-5.44,-10.92,-3.46,,,,-121002,-7.56,-315000000,OK,同花顺期货通截图
20260824,2026-08-24,PG,LPG,pg2610,5878,1.73,12.26,7.62,15.94,8.23,,,,2551,2.46,102000000,OK,同花顺期货通截图
20260824,2026-08-24,LC,碳酸锂,lc2701,158860,1.60,8.96,9.94,4.02,18.52,,,,5701,1.61,291000000,OK,同花顺期货通截图
20260824,2026-08-24,HC,热卷,hc2610,3340,1.49,3.25,1.40,2.08,3.73,,,,-83720,-7.57,-322000000,OK,同花顺期货通截图
20260824,2026-08-24,AG,沪银,ag2610,16843,1.40,7.25,15.70,18.93,18.08,,,,-8552,-2.79,-805000000,OK,同花顺期货通截图
20260824,2026-08-24,CJ,红枣,CJ2701,8245,1.29,-0.96,-5.07,-5.77,-4.85,,,,-15275,-8.82,-86906200,OK,同花顺期货通截图
20260824,2026-08-24,I,铁矿石,i2701,716,1.27,2.07,-1.85,-2.19,1.20,,,,-2273,-0.41,66994500,OK,同花顺期货通截图
20260824,2026-08-24,PP,聚丙烯,pp2612F,8238,1.18,10.87,8.27,13.85,6.87,,,,-39,-3.04,-171800,OK,同花顺期货通截图
20260824,2026-08-24,BC,国际铜,bc2609,96570,1.14,0.45,3.23,5.73,2.81,,,,-182,-1.66,-12685600,OK,同花顺期货通截图
20260824,2026-08-24,BR,合成橡胶,br2610,14720,1.10,13.36,12.58,13.49,17.10,,,,-3276,-2.90,-44977300,OK,同花顺期货通截图
20260824,2026-08-24,ZN,沪锌,zn2610,25905,1.05,0.99,3.93,4.50,3.85,,,,5736,4.14,193000000,OK,同花顺期货通截图
20260824,2026-08-24,NR,20号胶,nr2610,15655,1.03,5.78,7.82,6.79,9.94,,,,-489,-0.84,3522800,OK,同花顺期货通截图
20260824,2026-08-24,RB,螺纹钢,rb2610,3066,0.92,2.30,-0.39,0.39,2.06,,,,-144904,-8.29,-556000000,OK,同花顺期货通截图
20260824,2026-08-24,CU,沪铜,cu2610,107910,0.84,0.23,2.96,4.78,2.48,,,,14913,8.43,1846000000,OK,同花顺期货通截图
20260824,2026-08-24,C,玉米,c2611,2280,0.84,2.24,1.42,0.26,2.56,,,,50323,4.87,184000000,OK,同花顺期货通截图
20260824,2026-08-24,NI,沪镍,ni2610,129860,0.84,-0.12,-2.38,1.42,-1.62,,,,5218,4.52,181000000,OK,同花顺期货通截图
20260824,2026-08-24,JM,焦煤,jm2701,1584.0,0.83,12.02,8.83,10.00,20.50,,,,19429,4.10,460000000,OK,同花顺期货通截图
20260824,2026-08-24,RU,橡胶,ru2701,18610,0.62,4.35,5.26,4.52,7.54,,,,3049,2.10,131000000,OK,同花顺期货通截图
20260824,2026-08-24,AL,沪铝,al2610,23765,0.61,-1.72,2.46,3.37,0.61,,,,-3736,-1.40,-81484600,OK,同花顺期货通截图
20260824,2026-08-24,PB,沪铅,pb2610,16165,0.50,1.73,3.32,1.35,3.75,,,,-78,-0.10,1587100,OK,同花顺期货通截图
20260824,2026-08-24,SM,锰硅,SM2611,5962,0.44,4.41,3.44,0.78,4.55,,,,-9048,-2.16,-38348300,OK,同花顺期货通截图
20260824,2026-08-24,EB,苯乙烯,eb2610,8760,0.40,7.95,6.13,11.66,6.26,,,,4986,1.55,28772700,OK,同花顺期货通截图
20260824,2026-08-24,BU,沥青,bu2610,4544,0.40,13.03,13.69,24.02,14.29,,,,-6620,-1.98,-43283300,OK,同花顺期货通截图
20260824,2026-08-24,SP,纸浆,sp2611,4866,0.37,4.83,0.91,-0.04,3.62,,,,-7292,-2.79,-59172900,OK,同花顺期货通截图
20260824,2026-08-24,PF,短纤,PF2610,7664,0.29,5.27,5.74,8.00,3.32,,,,-10462,-5.32,-54199900,OK,同花顺期货通截图
