source_date,symbol,variety,close,change_pct,status,source,source_url
2026-06-25,IC,中证500,8938.01,1.08,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-06-26,IC,中证500,8703.57,-2.62,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-06-29,IC,中证500,8821.09,1.35,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-06-30,IC,中证500,9031.38,2.38,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-01,IC,中证500,9028.93,-0.03,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-02,IC,中证500,8694.18,-3.71,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-03,IC,中证500,8745.26,0.59,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-06,IC,中证500,8651.13,-1.08,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-07,IC,中证500,8508.79,-1.65,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-08,IC,中证500,8390.02,-1.4,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-09,IC,中证500,8652.79,3.13,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-10,IC,中证500,8503.97,-1.72,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-13,IC,中证500,8138.14,-4.3,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-14,IC,中证500,8275.94,1.69,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-15,IC,中证500,8147.58,-1.55,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-16,IC,中证500,7955.66,-2.36,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-17,IC,中证500,7513.76,-5.55,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-20,IC,中证500,7411.31,-1.36,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-21,IC,中证500,7800.61,5.25,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-22,IC,中证500,7751.66,-0.63,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-23,IC,中证500,7734.31,-0.22,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-24,IC,中证500,7532.7,-2.61,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-27,IC,中证500,7720.6,2.49,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-28,IC,中证500,7443.43,-3.59,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-29,IC,中证500,7524.51,1.09,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-06-25,IF,沪深300,5020.1,1.56,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-06-26,IF,沪深300,4868.22,-3.03,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-06-29,IF,沪深300,4926.92,1.21,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-06-30,IF,沪深300,4979.43,1.07,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-01,IF,沪深300,4958.98,-0.41,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-02,IF,沪深300,4812.3,-2.96,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-03,IF,沪深300,4842.17,0.62,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-06,IF,沪深300,4842.0,0.0,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-07,IF,沪深300,4792.26,-1.03,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-08,IF,沪深300,4755.53,-0.77,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-09,IF,沪深300,4876.31,2.54,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-10,IF,沪深300,4780.79,-1.96,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-13,IF,沪深300,4695.38,-1.79,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-14,IF,沪深300,4796.5,2.15,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-15,IF,沪深300,4786.78,-0.2,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-16,IF,沪深300,4698.43,-1.85,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-17,IF,沪深300,4529.1,-3.6,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-20,IF,沪深300,4598.32,1.53,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-21,IF,沪深300,4739.23,3.06,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-22,IF,沪深300,4717.24,-0.46,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-23,IF,沪深300,4728.0,0.23,OK,东方财富指数日线,https://quote.eastmoney.com/
2026-07-24,IF,沪深300,4649.19,-1.67,OK,东方财富指数日线,https://quote.eastmoney.com/
