report_date,source_date,symbol,variety,contract,market,open,close,high,low,volume,turnover,amplitude_pct,change_pct,change_amount,status,source,source_url,fetched_at
20260724,2026-07-24,A,豆一2609,a2609,114,4760,4777,4778,4734,155028,7369632000,0.93,0.76,36,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,AD,铸造铝2609,ad2609,113,23095,23005,23130,22920,5716,1315116800,0.91,-0.32,-75,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,AG,沪银2610,ag2610,113,14210,14154,14237,13986,813225,172324061184,1.70,-3.92,-577,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,AL,沪铝2609,al2609,113,23275,23225,23325,23130,157767,18317521408,0.84,-0.26,-60,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,AO,氧化铝2609,ao2609,113,2702,2710,2715,2685,208183,11239880192,1.11,0.37,10,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,AP,苹果610,AP610,115,7694,7765,7800,7634,136809,10554814350,2.17,1.38,106,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,AU,沪金2608,au2608,113,888.00,881.18,888.38,878.24,155207,137118986240.00,1.12,-2.52,-22.74,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,B,豆二2609,b2609,114,3889,3933,3938,3872,159220,6204982272,1.70,1.47,57,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,BB,胶合板2611,bb2611,114,147.90,147.90,147.90,147.90,1,73950.00,0.00,-0.03,-0.05,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,BC,国际铜2608,bc2608,142,93980,93390,94160,92900,10779,5038133760,1.33,-1.63,-1550,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,BR,丁二烯胶2609,br2609,113,14055,13820,14230,13770,264020,18472350208,3.35,0.58,80,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,BU,沥青2609,bu2609,113,4330,4275,4350,4244,479672,20615670272,2.50,0.87,37,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,BZ,纯苯2609,bz2609,114,7856,7707,7906,7669,34316,8023763712,3.09,0.61,47,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,C,玉米2609,c2609,114,2275,2277,2279,2264,470299,10678106112,0.66,0.00,0,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,CF,棉花609,CF609,115,16020,16005,16085,15975,200128,16030252800,0.69,0.00,0,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,CJ,红枣609,CJ609,115,7880,7890,7970,7870,70395,2784122250,1.27,0.00,0,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,CS,淀粉2609,cs2609,114,2655,2639,2655,2629,123705,3263362752,0.98,-0.26,-7,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,CU,沪铜2609,cu2609,113,105100,104750,105290,104310,109798,57501098240,0.92,-1.19,-1260,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
20260724,2026-07-24,CY,棉纱609,CY609,115,22580,22540,22615,22480,10238,1153822608,0.60,0.38,85,OK,东方财富期货主力日线,https://qhweb.eastmoney.com/quote/zhuli,2026-07-24T23:08:53+08:00
