symbol,variety,contract,market,source_date,open,high,low,close,change_pct,change_amount,volume,turnover,amplitude_pct,source,source_url,validation_status,sina_close,quhe_code,status
P,棕榈油,pm,,2026-08-28,10015.0,10225.0,9952.0,10171.0,1.1033797,111.0,739049.0,74567080000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,10171.0,JO_165964,OK
FG,玻璃,FGm,,2026-08-28,908.0,928.0,907.0,927.0,2.3178809,21.0,1513705.0,1389581200.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_166080,OK
V,PVC,vm,,2026-08-28,4495.0,4583.0,4470.0,4578.0,2.5767422,115.0,1061521.0,23991714000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_165822,OK
CU,沪铜,cu2609,,2026-08-28,108520.000,109300.000,108500.000,109240.0,0.44133872747333935,480.0,29550,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,,,OK
ZN,沪锌,zn2610,,2026-08-28,26285.000,26500.000,26085.000,26485.0,0.07557150954089487,20.0,174924,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,26485.0,,OK
NI,沪镍,nim,,2026-08-28,128490.0,128750.0,127740.0,128310.0,-0.38043478,-490.0,146143.0,18735782000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,127990.0,JO_165590,OK
TA,PTA,TAm,,2026-08-28,5552.0,5650.0,5544.0,5630.0,1.8451519,102.0,746691.0,4178483000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5630.0,JO_166029,OK
AL,沪铝,al2610,,2026-08-28,23850.000,24025.000,23840.000,23920.0,0.35661841829242036,85.0,152178,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,23920.0,,OK
NR,20号胶,nrm,,2026-08-28,15630.0,15890.0,15415.0,15790.0,1.5107682,235.0,85047.0,13301654000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,15790.0,JO_233734,OK
BU,沥青,bum,,2026-08-28,4571.0,4668.0,4521.0,4651.0,2.0851624,95.0,466325.0,21434337000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4651.0,JO_165694,OK
PK,花生,PKm,,2026-08-28,8000.0,8060.0,7972.0,8058.0,0.7501876,60.0,183850.0,1475947800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8058.0,JO_291867,OK
M,豆粕,mm,,2026-08-28,3353.0,3370.0,3318.0,3340.0,0.4813478,16.0,1657224.0,55423270000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_165938,OK
PP,PP,ppm,,2026-08-28,7910.0,7993.0,7878.0,7988.0,1.6284988,128.0,608273.0,24133190000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7988.0,JO_165874,OK
EG,乙二醇,egm,,2026-08-28,5100.0,5120.0,4956.0,5053.0,-0.47272012,-24.0,1240902.0,62417970000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_233664,OK
LC,碳酸锂,lcm,,2026-08-28,153980.0,159620.0,152080.0,159600.0,4.765656,7260.0,239379.0,37347426000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,159600.0,JO_336104,OK
AG,沪银,agm,,2026-08-28,16600.0,17223.0,16478.0,17215.0,3.145596,525.0,765356.0,193087590000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,17215.0,JO_165757,OK
JM,焦煤,JM2701,,2026-08-28,1610.000,1643.000,1602.500,1629.0,2.3241206030150785,37.0,1039129,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,1629.0,JO_165990,OK
SA,纯碱,SAm,,2026-08-28,1011.0,1050.0,1001.0,1047.0,3.051181,31.0,1902641.0,1954012300.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,1047.0,JO_233773,OK
MA,甲醇,MAm,,2026-08-28,2800.0,2848.0,2780.0,2840.0,1.5373615,43.0,1888117.0,5313161000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2840.0,JO_166093,OK
SN,沪锡,snm,,2026-08-28,419300.0,425260.0,418160.0,423870.0,0.85899204,3610.0,137306.0,57944440000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,422850.0,JO_165603,OK
LH,生猪,lhm,,2026-08-28,11800.0,12100.0,11800.0,12055.0,1.558551,185.0,198110.0,37975994000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_291821,OK
HC,热卷,hcm,,2026-08-28,3342.0,3379.0,3339.0,3371.0,0.9583708,32.0,383489.0,12899031000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,3371.0,JO_165719,OK
SP,纸浆,spm,,2026-08-28,4794.0,4798.0,4720.0,4788.0,-0.37453184,-18.0,369945.0,17594410000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4788.0,JO_233708,OK
I,铁矿石,im,,2026-08-28,719.0,725.0,716.5,723.0,0.9071877,6.5,232135.0,16749651000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,723.0,JO_165977,OK
SM,锰硅,SM2611,,2026-08-28,6004.000,6050.000,6004.000,6030.0,0.26604589291652214,16.0,275612,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,6030.0,,OK
AO,氧化铝,aom,,2026-08-28,2614.0,2651.0,2605.0,2648.0,0.9146341,24.0,226603.0,11918582000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2648.0,JO_335884,OK
PS,多晶硅,psm,,2026-08-28,37700.0,38240.0,37500.0,37605.0,-0.37091008,-140.0,76194.0,8639385000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,37605.0,JO_344228,OK
UR,尿素,URm,,2026-08-28,1747.0,1770.0,1739.0,1758.0,0.5145798,9.0,183482.0,322010900.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_233760,OK
PB,沪铅,pbm,,2026-08-28,16150.0,16335.0,16110.0,16245.0,0.83798885,135.0,83305.0,6764744700.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,16245.0,JO_165616,OK
AP,苹果,APm,,2026-08-28,7462.0,7778.0,7428.0,7778.0,4.571121,340.0,199772.0,1527456800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7778.0,JO_166249,OK
PG,液化气,pgm,,2026-08-28,5800.0,5821.0,5725.0,5759.0,-0.22522523,-13.0,94696.0,10922934000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,5759.0,JO_291854,OK
CJ,红枣,CJm,,2026-08-28,8030.0,8200.0,8005.0,8130.0,0.86848634,70.0,151767.0,1231589200.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8130.0,JO_233747,OK
RM,菜粕,RMm,,2026-08-28,2348.0,2355.0,2324.0,2339.0,0.17130621,4.0,738804.0,1729540200.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_166106,OK
SS,不锈钢,ssm,,2026-08-28,13995.0,14050.0,13915.0,14010.0,-0.5677786,-80.0,178034.0,12441400000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,14010.0,JO_233721,OK
J,焦炭,jm,,2026-08-28,2148.0,2177.0,2123.5,2153.5,1.7962657,38.0,61160.0,13148602000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,2153.5,JO_166003,OK
BR,合成橡胶,brm,,2026-08-28,14430.0,14545.0,14260.0,14480.0,1.9000703,270.0,197722.0,14230720000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,14480.0,JO_336117,OK
CF,棉花,CFm,,2026-08-28,17100.0,17345.0,17050.0,17180.0,0.9400705,160.0,464467.0,7988832000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,17180.0,JO_166016,OK
B,豆二,bm,,2026-08-28,4103.0,4134.0,4057.0,4099.0,0.5149583,21.0,258861.0,10615699000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4099.0,JO_165925,OK
SF,硅铁,SF2611,,2026-08-28,6050.000,6088.000,6022.000,6080.0,1.638248077566029,98.0,346704,,,新浪财经主力合约实时收盘（涨跌按前结算）,https://finance.sina.com.cn/futuremarket/,SINA_REALTIME,6080.0,,OK
JD,鸡蛋,jdm,,2026-08-28,3760.0,3794.0,3743.0,3791.0,0.7976602,30.0,325857.0,12282945000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,,JO_165835,OK
PX,对二甲苯,PXm,,2026-08-28,7998.0,8132.0,7956.0,8104.0,2.1684318,172.0,249013.0,2001566500.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,8104.0,JO_336625,OK
LU,低硫油,lum,,2026-08-28,4848.0,4861.0,4748.0,4765.0,0.7825719,37.0,119866.0,5759671300.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,4765.0,JO_291828,OK
BC,国际铜,bcm,,2026-08-28,96470.0,97400.0,96470.0,97390.0,0.58872133,570.0,5959.0,2891520000.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,QUHE_MAIN_DIFFERS_FROM_SEAT_CONTRACT,97230.0,JO_291808,OK
PF,短纤,PFm,,2026-08-28,7440.0,7514.0,7420.0,7504.0,0.80601823,60.0,199908.0,1493312800.0,,曲合期货主力行情（涨跌按前结算）,https://m.quheqihuo.com/quote/zhuli.html,SINA_CLOSE_AGREES,7504.0,JO_291841,OK
