snapshot_date,symbol,variety,report_scope,asset,temperature,strength,trend_rank,source,note,tm_id,ticker_symbol,is_trend_right_side,days_since_trend_entry,trend_phase_curr,trend_temperature_prev,trend_strength_local_change,return_1d,api_update_dt
2026-08-27,FU,燃油,commodity,商品期货,温,80.3,,trend_animal_api,API direct fact,300156,FU,False,,,温,,0.0177,2026-08-27 17:07:00
2026-08-27,EB,苯乙烯,commodity,商品期货,温,53.9,,trend_animal_api,API direct fact,308526,EB,False,,,平,,0.0019,2026-08-27 17:07:00
2026-08-27,LC,碳酸锂,commodity,商品期货,平,30.3,,trend_animal_api,API direct fact,308564,lc,False,,,平,,-0.0005,2026-08-27 17:07:00
2026-08-27,M,豆粕,commodity,商品期货,热,100.0,,trend_animal_api,API direct fact,308534,M,True,2.0,立夏,热,,0.0179,2026-08-27 17:07:00
2026-08-27,JM,焦煤,commodity,商品期货,热,98.7,,trend_animal_api,API direct fact,308549,JM,True,1.0,立夏,温,,0.031,2026-08-27 17:07:00
2026-08-27,I,铁矿石,commodity,商品期货,,45.9,,trend_animal_api,API direct fact,710425,I2708,False,,立夏,,,-0.0043,2026-08-27 17:07:00
2026-08-27,JD,鸡蛋,commodity,商品期货,凉,19.7,,trend_animal_api,API direct fact,308545,JD,False,,,凉,,-0.0023,2026-08-27 17:07:00
2026-08-27,AU,黄金,commodity,商品期货,温,95.4,,trend_animal_api,API direct fact,707175,AU2708,True,23.0,小暑,温,,-0.007,2026-08-27 17:07:00
2026-08-27,AG,白银,commodity,商品期货,,60.4,,trend_animal_api,API direct fact,711031,AG2708,False,,立夏,,,-0.0022,2026-08-27 17:07:00
2026-08-27,LH,生猪,commodity,商品期货,凉,14.5,,trend_animal_api,API direct fact,308562,LH,False,,,凉,,0.0004,2026-08-27 17:07:00
2026-08-27,P,棕榈油,commodity,商品期货,温,67.1,,trend_animal_api,API direct fact,308577,P,True,8.0,谷雨,温,,0.0052,2026-08-27 17:07:00
2026-08-27,IH,上证50,stock_index,ETF基金,温,53.8,,trend_animal_api,API direct fact,328631,510190,False,,,温,,0.006,2026-08-27 17:07:00
