source_date,symbol,variety,spot_price,main_contract,main_price,basis,basis_pct,basis_convention,status,source,source_url
2026-06-25,AG,白银,13830.0,2608,13811.0,19.0,0.14,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-06-25.html
2026-06-26,AG,白银,13867.0,2608,14212.0,-345.0,-2.49,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-06-26.html
2026-06-29,AG,白银,14185.67,2608,14272.0,-86.0,-0.61,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-06-29.html
2026-06-30,AG,白银,14047.0,2608,14410.0,-363.0,-2.58,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-06-30.html
2026-07-01,AG,白银,14059.67,2608,14032.0,27.0,0.19,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-01.html
2026-07-02,AG,白银,14558.67,2608,14650.0,-91.0,-0.63,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-02.html
2026-07-03,AG,白银,15150.67,2608,15256.0,-105.0,-0.69,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-03.html
2026-07-06,AG,白银,15170.67,2608,15083.0,87.0,0.57,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-06.html
2026-07-07,AG,白银,14904.0,2608,14880.0,24.0,0.16,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-07.html
2026-07-08,AG,白银,14616.67,2608,14860.0,-243.0,-1.66,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-08.html
2026-07-09,AG,白银,14184.67,2608,14403.0,-218.0,-1.54,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-09.html
2026-07-10,AG,白银,14616.33,2608,14656.0,-39.0,-0.27,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-10.html
2026-07-13,AG,白银,14304.33,2608,14135.0,169.0,1.18,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-13.html
2026-07-14,AG,白银,13920.33,2608,14217.0,-296.0,-2.13,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-14.html
2026-07-15,AG,白银,14215.0,2610,14253.0,-38.0,-0.27,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-15.html
2026-07-16,AG,白银,13879.33,2610,13937.0,-57.0,-0.41,现货价-主力期货价,OK,生意社期现基差表,https://www.100ppi.com/sf/day-2026-07-16.html
